algorithm,task,matrix_size,tile_size,frequency,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,weight
cholesky,syrk,32768,1024,1000000,0.196005,0.003938,inf,3.139846,12.618252,496
cholesky,gemm,32768,1024,1000000,0.164414,0.002932,inf,3.286871,176.062284,4960
cholesky,potrf,32768,2048,2601000,0.269784,0.002303,inf,2.290735,1.004433,16
cholesky,trsm,32768,2048,2601000,0.248352,0.002478,inf,2.457538,20.259585,120
cholesky,syrk,32768,2048,2601000,0.215744,0.003578,inf,3.085974,21.262552,120
cholesky,gemm,32768,2048,2601000,0.177243,0.003554,inf,3.250268,190.540522,560
cholesky,potrf,32768,2048,1000000,0.243062,0.002350,inf,2.375612,1.024783,16
cholesky,trsm,32768,2048,1000000,0.229104,0.002495,inf,2.521810,20.402608,120
cholesky,syrk,32768,2048,1000000,0.171813,0.003653,inf,3.263948,21.711195,120
cholesky,gemm,32768,2048,1000000,0.150556,0.003585,inf,3.361214,192.206499,560
