algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
invert,gemm,24576,2048,23068672,1200000,506,5556329579,
invert,trsm,24576,2048,23068672,1200000,66,325893262,
invert,getri,24576,2048,23068672,1200000,12,138539008,
invert,getrf,24576,2048,23068672,2801000,12,113564391,
invert,gemm,24576,2048,23068672,2801000,506,5261466113,
invert,trsm,24576,2048,23068672,2801000,66,311992344,
invert,getri,24576,2048,23068672,2801000,12,140764812,
invert,getrf,28672,512,23068672,1200000,56,13444735,
invert,gemm,28672,512,23068672,1200000,56980,11206242013,
invert,trsm,28672,512,23068672,1200000,1540,142399322,
invert,getri,28672,512,23068672,1200000,56,10939092,
invert,getrf,28672,512,23068672,2801000,56,13538135,
invert,gemm,28672,512,23068672,2801000,56980,10874218977,
invert,trsm,28672,512,23068672,2801000,1540,139204729,
invert,getri,28672,512,23068672,2801000,56,10917862,
invert,getrf,28672,1024,23068672,1200000,28,36775655,
invert,gemm,28672,1024,23068672,1200000,6930,7401011508,
invert,trsm,28672,1024,23068672,1200000,378,208300853,
invert,getri,28672,1024,23068672,1200000,28,29818050,
invert,getrf,28672,1024,23068672,2801000,28,36689122,
invert,gemm,28672,1024,23068672,2801000,6930,7422422742,
invert,trsm,28672,1024,23068672,2801000,378,199243940,
invert,getri,28672,1024,23068672,2801000,28,29998930,
invert,getrf,28672,2048,23068672,1200000,14,121538337,
invert,gemm,28672,2048,23068672,1200000,819,6909954588,
invert,trsm,28672,2048,23068672,1200000,91,334513845,
invert,getri,28672,2048,23068672,1200000,14,165064898,
invert,getrf,28672,2048,23068672,2801000,14,122058764,
invert,gemm,28672,2048,23068672,2801000,819,7355862732,
invert,trsm,28672,2048,23068672,2801000,91,342735872,
invert,getri,28672,2048,23068672,2801000,14,149157113,
