algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
invert,gemm,16384,512,23068672,1200000,10416,2272965050,321029330193,27927370492,110203083344,2302152382,321029219020,2399035984,321029156075,2347741942
invert,trsm,16384,512,23068672,1200000,496,49825016,13803561952,3288815250,7255420550,49972402,13803569179,52562736,13803559763,50517020
invert,getri,16384,512,23068672,1200000,32,8248632,1507694742,397298910,824088421,8373505,1507692700,8528488,1507692713,8381135
invert,getrf,16384,512,23068672,2801000,32,9433742,954683939,584686781,843660406,9302813,954683530,9436925,954683640,9224759
invert,gemm,16384,512,23068672,2801000,10416,2210649027,321029055804,34255498984,116654489765,2211097078,321029054134,2266916308,321029193105,2212712463
invert,trsm,16384,512,23068672,2801000,496,48776658,13803568897,3537826702,7500873038,49269897,13803559367,51871291,13803564032,49500548
invert,getri,16384,512,23068672,2801000,32,8304820,1507694604,716636674,1143829652,8339021,1507693913,8389609,1507693142,8377215
invert,getrf,16384,1024,23068672,1200000,16,22151614,2621778828,721560926,1418087187,21875994,2621778712,22535544,2621778722,22024678
invert,gemm,16384,1024,23068672,1200000,1240,1785983504,300572374257,20300983484,96889218716,1798515698,300572361778,1826248732,300572361572,1783748128
invert,trsm,16384,1024,23068672,1200000,120,74567192,20950341739,3893229895,9689966860,74924778,20950340441,78809606,20950341335,74940338
invert,getri,16384,1024,23068672,1200000,16,19159634,4146943696,1079211336,2208538737,19314907,4146943501,19957986,4146943548,19276367
invert,getrf,16384,1024,23068672,2801000,16,21832444,2621778707,1428605767,2125831494,21997110,2621778533,22333239,2621778443,21987084
invert,gemm,16384,1024,23068672,2801000,1240,1714602625,300572361217,23904485512,100604467002,1734060936,300572332969,1743660458,300572327526,1708374504
invert,trsm,16384,1024,23068672,2801000,120,72539447,20950340564,4173651982,9968557493,74442004,20950337462,76540929,20950338433,74380788
invert,getri,16384,1024,23068672,2801000,16,19201601,4146943560,1869224090,3000522239,19345647,4146943422,19990275,4146943697,19268462
invert,getrf,16384,2048,23068672,1200000,8,72717063,7832062822,2232537709,4325176531,73241571,7832062745,74420588,7832062759,73794582
invert,gemm,16384,2048,23068672,1200000,140,1483462020,269416081540,16835725793,85089012315,1499550825,269416079696,1500400240,269416079964,1491271298
invert,trsm,16384,2048,23068672,1200000,28,122654570,33100657408,4488912337,13333726828,123167111,33100657613,127409890,33100657773,125063024
invert,getri,16384,2048,23068672,1200000,8,92513061,13344347279,3459325943,7067442187,95069601,13344347262,92558321,13344346860,94776297
invert,getrf,16384,2048,23068672,2801000,8,73133498,7832062419,4609125778,6702162991,73032703,7832062299,74984938,7832062279,73708636
invert,gemm,16384,2048,23068672,2801000,140,1434735091,269416066376,19256761661,87625608206,1415834395,269416063612,1443955998,269416061615,1421920266
invert,trsm,16384,2048,23068672,2801000,28,120998478,33100655835,4802309499,13647070504,120200846,33100655765,122791059,33100655373,121774796
invert,getri,16384,2048,23068672,2801000,8,91457599,13344346899,5978418528,9587212379,93542623,13344346695,94302983,13344346399,91171329
invert,getrf,20480,512,23068672,1200000,40,10171487,1193370294,334941914,656989592,10190268,1193369920,10060785,1193369938,10147848
invert,gemm,20480,512,23068672,1200000,20540,3603951381,633059066343,51566160013,213960836146,3923556402,633058862920,3668048156,633058829480,3775936198
invert,trsm,20480,512,23068672,1200000,780,67159708,21707229129,5025857224,11259186403,69489986,21707223506,68599381,21707218893,68349205
invert,getri,20480,512,23068672,1200000,40,8426629,1884609171,475669133,1007179217,8453096,1884609258,8602019,1884608775,8404831
invert,getrf,20480,512,23068672,2801000,40,9846787,1193369809,619237666,942784103,10151779,1193369745,10058751,1193369705,10110401
invert,gemm,20480,512,23068672,2801000,20540,3649073352,633058912046,64161064912,226762927235,3770838091,633058585525,3861905372,633058715066,3814585765
invert,trsm,20480,512,23068672,2801000,780,68601550,21707224715,5376733467,11604949866,67825325,21707220219,69536409,21707214774,68916387
invert,getri,20480,512,23068672,2801000,40,8268218,1884610252,810415538,1342157690,8158359,1884608749,8526860,1884608509,8276813
invert,getrf,20480,1024,23068672,1200000,20,25673058,3277104099,845373518,1715069656,25503676,3277103912,25816097,3277103857,25889061
invert,gemm,20480,1024,23068672,1200000,2470,2611503471,598720777675,38025761599,190592652249,2717815925,598720746759,2749277281,598720562675,2738920779
invert,trsm,20480,1024,23068672,1200000,190,100756786,33171374918,6065631618,15246739086,102589856,33171372981,103283012,33171361157,103134861
