algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time,arithm_intensity_task1,arithm_intensity_task2,arithm_intensity_task3,arithm_intensity_task4,bmr_task1,bmr_task2,bmr_task3,bmr_task4,ilp_task1,ilp_task2,ilp_task3,ilp_task4,l3_cache_ratio_task1,l3_cache_ratio_task2,l3_cache_ratio_task3,l3_cache_ratio_task4,mem_boundness_task1,mem_boundness_task2,mem_boundness_task3,mem_boundness_task4
qr,32768,512,11,12298332672.666666,12562590581.666666,2449346292.333333,1584802621.0,110.23066666666666,0.000679,0.000872,0.000733,0.001635,0.003784,0.006416,0.00223,0.003633,0.707816,1.846314,0.510951,2.727831,0.18106,3.84246,8.110057,483.676782,0.639214,0.506597,0.708688,0.296324
qr,32768,512,12,12272893243.666666,12084417143.666666,2219353439.0,1725653334.6666667,107.74533333333332,0.000679,0.000872,0.000733,0.001635,0.003784,0.006416,0.00223,0.003633,0.707816,1.846314,0.510951,2.727831,0.18106,3.84246,8.110057,483.676782,0.639214,0.506597,0.708688,0.296324
qr,32768,512,13,10043196132.0,9598381291.666666,2265617069.6666665,1518906576.6666667,101.76913333333334,0.000679,0.000872,0.000733,0.001635,0.003784,0.006416,0.00223,0.003633,0.707816,1.846314,0.510951,2.727831,0.18106,3.84246,8.110057,483.676782,0.639214,0.506597,0.708688,0.296324
qr,32768,512,14,10072526338.333334,9687564514.666666,2113909597.6666667,1671074455.6666667,102.58713333333333,0.000679,0.000872,0.000733,0.001635,0.003784,0.006416,0.00223,0.003633,0.707816,1.846314,0.510951,2.727831,0.18106,3.84246,8.110057,483.676782,0.639214,0.506597,0.708688,0.296324
qr,32768,512,15,9993396536.333334,9504388713.666666,2325143713.0,1546802475.3333333,104.633,0.000679,0.000872,0.000733,0.001635,0.003784,0.006416,0.00223,0.003633,0.707816,1.846314,0.510951,2.727831,0.18106,3.84246,8.110057,483.676782,0.639214,0.506597,0.708688,0.296324
qr,32768,512,16,10067446883.333334,9566796879.666666,2397146038.6666665,1559333328.3333333,108.02933333333334,0.000679,0.000872,0.000733,0.001635,0.003784,0.006416,0.00223,0.003633,0.707816,1.846314,0.510951,2.727831,0.18106,3.84246,8.110057,483.676782,0.639214,0.506597,0.708688,0.296324
qr,32768,1024,1,29755008320.33333,27868573960.666668,4559387403.0,2889876964.333333,249.816,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,1024,2,30523439763.666668,27502454109.33333,5575550265.0,2072754189.3333333,252.7373333333333,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,1024,3,26193048281.666668,22560463160.0,5605657156.0,2096843922.0,255.018,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,1024,4,26239916183.0,22593613607.666668,5622003100.0,2079410877.0,255.805,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,1024,5,26165603812.33333,23328701590.0,5575316215.666667,2084027974.0,252.855,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,1024,6,24870959808.666668,23407265638.666668,4549736290.666667,2889502293.0,249.27,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,1024,7,20177933187.666668,17878813768.0,4759981475.0,2477698911.6666665,234.7673333333333,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,1024,8,20228188043.33333,19783436476.0,3508444076.0,3725942358.0,254.0523333333333,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,1024,9,30435096239.33333,26971259444.666668,5542561369.333333,2063686801.6666667,250.96400000000003,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,1024,10,30301715213.666668,27283587359.666668,5534958156.333333,2066213561.3333333,250.94066666666663,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,1024,11,26246318002.0,22504625737.33333,5624954352.666667,2067154914.3333333,255.465,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,1024,12,24920451482.666668,22950749493.666668,4626985644.0,2916767520.0,254.20933333333332,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,1024,13,25879776480.33333,23034574922.33333,5555887169.0,2063649490.0,251.97966666666665,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,1024,14,24965833446.666668,23488168263.33333,4573786345.333333,2900005477.6666665,250.83,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,1024,15,21951800370.666668,18471790216.33333,5586233969.333333,1916642592.6666667,254.367,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,1024,16,21639711061.33333,17987686882.0,5607552157.666667,1896885095.6666667,255.48566666666667,0.000726,0.002802,0.00082,0.002218,0.00459,0.004603,0.005554,0.006841,0.473007,1.932983,0.424875,2.922846,0.60767,22.81837,15.386158,618.229941,0.716788,0.498646,0.734383,0.25377
qr,32768,2048,1,65699049685.0,58390921339.66666,10782249619.333334,3899216459.3333335,497.6483333333333,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
qr,32768,2048,2,63645177826.66666,56966857888.0,10715669334.0,3873593045.0,494.56033333333335,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
qr,32768,2048,3,61508510445.333336,51972072700.333336,10926435223.0,3907362787.0,506.3036666666667,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
qr,32768,2048,4,59963476213.333336,50404159071.66666,10931746975.0,3893674534.6666665,507.7826666666666,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
qr,32768,2048,5,47063369487.0,44333150260.0,10559525606.666666,3920079152.3333335,489.3923333333334,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
qr,32768,2048,6,45316983109.0,41739586221.0,10419820312.0,3832277016.6666665,481.68133333333327,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
qr,32768,2048,7,41711734688.66666,36284070198.333336,10428948445.0,3371229534.6666665,482.8783333333333,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
qr,32768,2048,8,41446001828.0,35054626121.0,10670208321.0,3321042051.0,496.72133333333335,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
qr,32768,2048,9,62415475347.66666,56534186042.0,10477744362.666666,3792571043.0,482.4426666666666,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
qr,32768,2048,10,62335391853.0,55894742631.333336,10642439147.333334,3817245271.3333335,490.6086666666667,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
qr,32768,2048,11,60373822228.66666,51631253281.0,10888766862.333334,3909718456.3333335,505.5436666666666,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
qr,32768,2048,12,58068664393.0,49359724143.333336,10769252269.0,3830038550.3333335,498.6453333333333,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
qr,32768,2048,13,46554615785.0,44311839238.333336,10624209860.0,3959106111.0,492.45133333333337,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
qr,32768,2048,14,44863116819.333336,41184398922.0,10443860238.666666,3823070461.0,481.96066666666667,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
qr,32768,2048,15,42507961166.66666,36523555364.0,10748322874.0,3365680806.0,500.5423333333333,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
qr,32768,2048,16,40894005113.333336,34636454075.0,10715636076.0,3291667566.333333,498.946,0.052697,0.00578,0.115114,0.003763,0.004243,0.003529,0.003364,0.002193,0.324369,1.659355,0.262994,3.065714,152.702991,88.448963,3848.870714,982.305164,0.806963,0.575531,0.847849,0.222809
