algorithm,task,matrix_size,tile_size,frequency,papi_l3_tcm,papi_tot_ins,papi_res_stl,papi_tot_cyc,papi_br_msp,weight,l3_cache_size
qr,tsqrt,16384,2048,2801000,20822188614,189097206057,592730306878,688125629630,42830973,28,23068672
qr,tsmqr,16384,2048,2801000,2558692948,678610530722,52638812095,224775151242,11029843,140,23068672
qr,geqrt,16384,2048,1200000,1826617744,35068991941,41312471394,58849179161,10449888,8,23068672
qr,ormqr,16384,2048,1200000,459322549,82605463314,10776535335,31869560493,2297047,28,23068672
qr,tsqrt,16384,2048,1200000,20930347854,189097230846,244337191468,338386448832,42949100,28,23068672
qr,tsmqr,16384,2048,1200000,2572498723,678610558483,34490227607,206034351065,10855639,140,23068672
qr,geqrt,20480,512,2801000,2733946,3932466570,3651907094,5428639760,1268087,40,23068672
qr,ormqr,20480,512,2801000,35111771,39673690978,10807732055,21469290394,4480791,780,23068672
qr,tsqrt,20480,512,2801000,72569345,102289618840,139999113937,192299322498,15492721,780,23068672
qr,tsmqr,20480,512,2801000,2657881943,1633091503310,170727313522,589515263550,65545700,20540,23068672
qr,geqrt,20480,512,1200000,2768427,3932469134,2309885337,4018429470,1272590,40,23068672
qr,ormqr,20480,512,1200000,35726513,39673693037,7084909732,17712286574,5013596,780,23068672
qr,tsqrt,20480,512,1200000,73435575,102289630798,72401055264,121813881325,16787712,780,23068672
qr,tsmqr,20480,512,1200000,2719613882,1633091577401,127022248091,546752054549,67355098,20540,23068672
qr,geqrt,20480,1024,2801000,8426429,12536884300,18931342745,25491011204,4639900,20,23068672
qr,ormqr,20480,1024,2801000,205265237,72329778932,17737263349,36491657959,3543992,190,23068672
qr,tsqrt,20480,1024,2801000,239307281,173233255187,295322274601,392142373191,70318375,190,23068672
qr,tsmqr,20480,1024,2801000,3558873217,1519459842603,135031728854,522308734431,82932230,2470,23068672
qr,geqrt,20480,1024,1200000,8308310,12536885608,10786863957,16814794859,4548376,20,23068672
qr,ormqr,20480,1024,1200000,201480254,72329782454,9656220200,28432059831,3517802,190,23068672
qr,tsqrt,20480,1024,1200000,249048438,173233279805,154745147864,242466436214,68981282,190,23068672
qr,tsmqr,20480,1024,1200000,3567438863,1519459911693,89246015780,475723909607,83220638,2470,23068672
qr,geqrt,20480,2048,2801000,2279190194,43836095172,107626654590,130053582633,14198904,10,23068672
qr,ormqr,20480,2048,2801000,731673238,132758768850,42565121996,76525296341,3818869,45,23068672
qr,tsqrt,20480,2048,2801000,33888911652,303906231863,958019211090,1113453560605,203796707,45,23068672
qr,tsmqr,20480,2048,2801000,5240493792,1381457143307,100863433935,451038178566,22238608,285,23068672
qr,geqrt,20480,2048,1200000,2346421220,43836101770,51828330254,73778934582,14356321,10,23068672
qr,ormqr,20480,2048,1200000,757088331,132758774318,17230632741,51134458056,3606378,45,23068672
qr,tsqrt,20480,2048,1200000,33652306387,303906271583,394139672902,546701346929,163531269,45,23068672
qr,tsmqr,20480,2048,1200000,5331144798,1381457202400,74855263827,424506336395,22520823,285,23068672
qr,geqrt,24576,512,2801000,3278250,4718849818,4383484847,6524137283,1788529,48,23068672
qr,ormqr,24576,512,2801000,49097927,57374255831,15062665456,30454024122,6053426,1128,23068672
qr,tsqrt,24576,512,2801000,104229421,147926530916,202585051883,278454020227,31336456,1128,23068672
qr,tsmqr,24576,512,2801000,4571141623,2840020800582,312183881074,1041829758739,109750030,35720,23068672
qr,geqrt,24576,512,1200000,3319954,4718850851,2787609911,4841068755,1556542,48,23068672
qr,ormqr,24576,512,1200000,50595457,57374259683,10244206603,25598120654,5993154,1128,23068672
qr,tsqrt,24576,512,1200000,104379138,147926549490,104815298894,176332950657,24573415,1128,23068672
qr,tsmqr,24576,512,1200000,4730471063,2840020972660,221490733826,951213259362,117201267,35720,23068672
qr,geqrt,24576,1024,2801000,10388883,15044150690,22717896450,30590182647,5388759,24,23068672
qr,ormqr,24576,1024,2801000,276236913,105068517207,26714413154,54014193714,5123190,276,23068672
qr,tsqrt,24576,1024,2801000,290655821,251644103734,428040746685,568802339257,99394365,276,23068672
qr,tsmqr,24576,1024,2801000,5768780679,2659977471957,232857162736,910980422281,148845762,4324,23068672
qr,geqrt,24576,1024,1200000,10897238,15044152904,12967515371,20208488696,5962101,24,23068672
qr,ormqr,24576,1024,1200000,284019022,105068522164,14077811775,41358966546,5125852,276,23068672
qr,tsqrt,24576,1024,1200000,360586653,251644138465,223699976082,351098798924,106699756,276,23068672
qr,tsmqr,24576,1024,1200000,5980808657,2659977590119,164531060173,842007727744,144475779,4324,23068672
qr,geqrt,24576,2048,2801000,2800437387,52603203630,129761154940,156582615350,16673028,12,23068672
qr,ormqr,24576,2048,2801000,1073162388,194712856348,62284180596,111990180822,5584705,66,23068672
qr,tsqrt,24576,2048,2801000,49598167007,445729146342,1397325284222,1623417590682,101112249,66,23068672
qr,tsmqr,24576,2048,2801000,9421201963,2452692328192,189218455446,811832593324,40683746,506,23068672
qr,geqrt,24576,2048,1200000,2851539146,52603211182,62336009174,88654378535,16531660,12,23068672
qr,ormqr,24576,2048,1200000,1118897163,194712864828,25659518680,75386015711,5047362,66,23068672
qr,tsqrt,24576,2048,1200000,49125129413,445729204104,576254518368,798226661737,108175821,66,23068672
qr,tsmqr,24576,2048,1200000,9577095323,2452692431245,133651055046,754482315379,39679638,506,23068672
qr,geqrt,28672,512,2801000,3790551,5505234717,5121510104,7612806250,1763119,56,23068672
qr,ormqr,28672,512,2801000,66070569,78330099211,20493487639,41506550066,8116037,1540,23068672
qr,tsqrt,28672,512,2801000,142362908,201956438693,277087356182,380532144690,32032018,1540,23068672
qr,tsmqr,28672,512,2801000,7057077993,4530358013865,496787199740,1660474548352,183501822,56980,23068672
qr,geqrt,28672,512,1200000,3777109,5505234277,3233716168,5629783701,2065260,56,23068672
qr,ormqr,28672,512,1200000,65141054,78330103355,14008001063,34974493801,9038866,1540,23068672
qr,tsqrt,28672,512,1200000,143590307,201956466835,143018971053,240670249194,41615619,1540,23068672
qr,tsmqr,28672,512,1200000,7193203379,4530358224173,354346227032,1518502230459,187287899,56980,23068672
qr,geqrt,28672,1024,2801000,13763080,17551416580,26633962374,35806115936,6317552,28,23068672
qr,ormqr,28672,1024,2801000,369183560,143898183065,35963527889,73356840232,6970644,378,23068672
qr,tsqrt,28672,1024,2801000,492424936,344643017604,586818816680,779769922108,137317830,378,23068672
qr,tsmqr,28672,1024,2801000,9216423921,4263099880202,355750903757,1440575130025,232584043,6930,23068672
qr,geqrt,28672,1024,1200000,11876194,17551419683,15118915618,23555408069,6276322,28,23068672
qr,ormqr,28672,1024,1200000,399690317,143898190312,19528983880,56887792073,6972648,378,23068672
qr,tsqrt,28672,1024,1200000,343529965,344643064955,305847764545,480219131378,137110663,378,23068672
qr,tsmqr,28672,1024,1200000,9419743972,4263100066492,263506103899,1349172531276,231158897,6930,23068672
qr,geqrt,28672,2048,2801000,3200110522,61370312033,150392497280,181773958695,20548278,14,23068672
qr,ormqr,28672,2048,2801000,1513887648,268467722651,88603311414,157280264541,7466917,91,23068672
qr,tsqrt,28672,2048,2801000,67530131398,614565950066,1919064266959,2231098585616,142943536,91,23068672
qr,tsmqr,28672,2048,2801000,15100141527,3969871570137,305602837277,1312911709370,62844255,819,23068672
qr,geqrt,28672,2048,1200000,3310756174,61370321296,72711612256,103420053110,19896011,14,23068672
qr,ormqr,28672,2048,1200000,1562980458,268467734267,35435369329,104012076139,7685828,91,23068672
qr,tsqrt,28672,2048,1200000,67804714170,614566031070,795933143898,1102067194341,140377193,91,23068672
qr,tsmqr,28672,2048,1200000,15398817284,3969871733644,200648162600,1204144149881,61880166,819,23068672
