algorithm,task,matrix_size,tile_size,frequency,papi_l3_tcm,papi_tot_ins,papi_res_stl,papi_tot_cyc,papi_br_msp,weight,l3_cache_size
invert,gemm,16384,2048,1200000,1243867966,269413983562,14968483967,83115701240,2698373,140,23068672
invert,getri,16384,2048,1200000,92847527,13365675901,3320590169,7007229971,1919123,8,23068672
invert,getrf,20480,512,2801000,9885221,1207988931,714490055,1111995874,557002,40,23068672
invert,trsm,20480,512,2801000,63789290,21684111057,5474044505,11914939559,7133236,780,23068672
invert,gemm,20480,512,2801000,3466023356,633044341140,74166287238,236062713299,11386130,20540,23068672
invert,getri,20480,512,2801000,8074865,1885221736,891376818,1450617185,925833,40,23068672
invert,getrf,20480,512,1200000,9995606,1207989455,322403235,715268316,558416,40,23068672
invert,trsm,20480,512,1200000,62395667,21684117255,4927994487,11301790323,7159829,780,23068672
invert,gemm,20480,512,1200000,3420845214,633044882498,47305370790,208721669818,11450848,20540,23068672
invert,getri,20480,512,1200000,8150841,1885221473,449395546,1000714399,733703,40,23068672
invert,getrf,20480,1024,2801000,25361062,3306699369,1770406960,2789122256,797542,20,23068672
invert,trsm,20480,1024,2801000,91251279,33148639823,6516546011,15882728941,7181322,190,23068672
invert,gemm,20480,1024,2801000,2566636097,598714306606,51958666253,204542785866,34310863,2470,23068672
invert,getri,20480,1024,2801000,20512711,5192511045,2387485334,3853734049,1360367,20,23068672
invert,getrf,20480,1024,1200000,25592492,3306699579,811008229,1825240063,800099,20,23068672
invert,trsm,20480,1024,1200000,94796450,33148645202,5785683443,15104692753,7146525,190,23068672
invert,gemm,20480,1024,1200000,2590681838,598714350506,36366104090,188449903165,34566609,2470,23068672
invert,getri,20480,1024,1200000,21106991,5192510770,1250719245,2705538164,1246978,20,23068672
invert,getrf,20480,2048,2801000,88276630,9850115750,6231588684,9145510573,1268977,10,23068672
invert,trsm,20480,2048,2801000,150710591,53175583083,7625921888,22025925557,6782370,45,23068672
