algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dcesca,24576,512,32,79,60228362,55821879,11289855,3525763,0.694700
dcesca,24576,512,32,80,58238925,52528857,11473409,3607771,0.707200
dcesca,24576,512,32,81,62165612,57544286,11015632,4097982,0.668800
dcesca,24576,512,32,82,59550812,54743085,11376636,3822292,0.728500
dcesca,24576,512,32,83,57118994,51921803,11215788,3598055,0.695200
dcesca,24576,512,32,84,51637624,46000615,11056698,3434452,0.670900
dcesca,24576,512,32,85,56012064,50950614,11285111,3536136,0.699300
dcesca,24576,512,32,86,55444133,49444514,11678490,3712897,0.754900
dcesca,24576,512,32,87,55938394,50510003,11387025,3538676,0.708500
dcesca,24576,512,32,88,54988018,48411924,11690394,3758093,0.761100
dcesca,24576,512,32,89,65921584,62907432,11446909,3774510,0.751200
dcesca,24576,512,32,90,59347504,54911419,11389626,3668680,0.738200
dcesca,24576,512,32,91,57999913,52867785,11259622,3601513,0.708200
dcesca,24576,512,32,92,56258828,50410149,11503244,3842120,0.762100
dcesca,24576,512,32,93,56319619,51207083,11357924,3524890,0.710200
dcesca,24576,512,32,94,54798383,48682370,11609365,3806487,0.744500
dcesca,24576,512,32,95,55132549,49903071,11398913,3582939,0.711000
dcesca,24576,512,32,96,55612040,49077755,11779485,3847522,0.775500
dcesca,24576,512,32,97,64796404,62560509,11078179,3351909,0.681200
dcesca,24576,512,32,98,54317610,51779836,10520999,2947790,0.599100
dcesca,24576,512,32,99,50273004,46790957,10323904,4089247,0.566000
dcesca,24576,512,32,100,62008447,55970559,11574695,4025843,0.735500
dcesca,24576,512,32,101,61730127,56632179,11452647,3467944,0.689100
dcesca,24576,512,32,102,59147736,53815048,11669891,3740177,0.723800
dcesca,24576,512,32,103,59992645,55846415,11338095,3435462,0.687500
dcesca,24576,512,32,104,60532743,54688153,11739185,3846481,0.758000
dcesca,24576,512,32,105,53001574,49743464,10159170,2872131,0.529600
dcesca,24576,512,32,106,61627101,55088360,10905060,4595477,0.635800
dcesca,24576,512,32,107,64199055,56743629,11018540,4729460,0.647800
dcesca,24576,512,32,108,62508263,56987952,11785636,4198503,0.750400
dcesca,24576,512,32,109,61131497,57471899,11335128,3449706,0.684800
dcesca,24576,512,32,110,61656702,56084939,11621712,3831289,0.748800
dcesca,24576,512,32,111,61070828,57070044,11437500,4062211,0.704900
dcesca,24576,512,32,112,59619232,54004684,11584838,3764259,0.739100
dcesca,24576,512,32,113,48720213,44073618,10150969,2835579,0.548200
dcesca,24576,512,32,114,57390539,52643542,11135845,3533489,0.706200
dcesca,24576,512,32,115,56509072,51738820,11195576,3443602,0.692500
dcesca,24576,512,32,116,57635656,51307730,11601944,3819630,0.774100
dcesca,24576,512,32,117,56803749,52009572,11510405,3591201,0.712400
dcesca,24576,512,32,118,56118265,49946345,11723961,3827831,0.765200
dcesca,24576,512,32,119,56205484,50817864,11553688,3608015,0.716700
dcesca,24576,512,32,120,55114178,48832700,11770641,3960405,0.770900
dcesca,24576,512,32,121,61288540,57939671,11197121,3495438,0.704100
dcesca,24576,512,32,122,59497345,54458479,11472368,3765774,0.740700
dcesca,24576,512,32,123,56250527,51695669,11151742,3467255,0.687800
dcesca,24576,512,32,124,53663925,48401854,11222687,3717854,0.721700
dcesca,24576,512,32,125,55455607,50311090,11313233,3568741,0.705000
dcesca,24576,512,32,126,58085361,51866932,11926105,4007315,0.795000
dcesca,24576,512,32,127,57725377,52740465,11608094,3733384,0.721800
dcesca,24576,512,32,128,55058392,48736020,11696590,3930402,0.774000
dcesca,24576,1024,32,1,55255413,52787462,10172251,2747605,0.537300
dcesca,24576,1024,32,2,60085967,57520422,10426430,3421998,0.533100
dcesca,24576,1024,32,3,64142597,60244780,10280545,3894967,0.532200
dcesca,24576,1024,32,4,61704920,57801854,10161755,3842748,0.538500
dcesca,24576,1024,32,5,57877659,60075530,10708776,4069555,0.555100
