algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dgram,20480,1024,32,17,19022656,17262224,3700519,948355,0.188400
dgram,20480,1024,32,18,19035230,17395036,3731089,953680,0.188900
dgram,20480,1024,32,19,23416566,21689214,3628992,1348282,0.185500
dgram,20480,1024,32,20,22978823,21434821,3579558,1332890,0.182100
dgram,20480,1024,32,21,19642161,17426591,3725749,1391795,0.190900
dgram,20480,1024,32,22,19477428,17970047,3749326,1432019,0.193900
dgram,20480,1024,32,23,20176645,18214675,3827830,1443310,0.198300
dgram,20480,1024,32,24,19639843,17597245,3764014,1427796,0.195000
dgram,20480,1024,32,25,19080700,17124834,3610999,1354065,0.183900
dgram,20480,1024,32,26,16811237,14808129,3617624,952333,0.188200
dgram,20480,1024,32,27,16382343,14226160,3543862,935381,0.181800
dgram,20480,1024,32,28,16653644,14608300,3633597,939711,0.186300
dgram,20480,1024,32,29,14805077,12537566,3679558,979552,0.190000
dgram,20480,1024,32,30,15071738,12885038,3762408,989604,0.195500
dgram,20480,1024,32,31,14745751,12583220,3678043,950986,0.189800
dgram,20480,1024,32,32,14761254,12537504,3696618,967664,0.191100
dgram,20480,1024,32,33,18733167,17080218,3638049,937263,0.185500
dgram,20480,1024,32,34,19079236,17398271,3688555,952639,0.189200
dgram,20480,1024,32,35,23312929,21800970,3613080,1331666,0.183100
dgram,20480,1024,32,36,23411622,21468268,3610449,1342559,0.183800
dgram,20480,1024,32,37,19515758,17590897,3714075,1407462,0.191100
dgram,20480,1024,32,38,19056164,17354020,3658765,1383380,0.187100
dgram,20480,1024,32,39,19646861,17637406,3723317,1406743,0.191400
dgram,20480,1024,32,40,19627696,18022354,3779192,1440311,0.195800
dgram,20480,1024,32,41,19342297,17170794,3647291,1357447,0.185400
dgram,20480,1024,32,42,16857867,14444116,3624907,927915,0.185800
dgram,20480,1024,32,43,16926348,14604272,3683352,951874,0.187800
dgram,20480,1024,32,44,16538349,14432886,3596739,920478,0.183800
dgram,20480,1024,32,45,14959557,12665739,3721710,966731,0.190900
dgram,20480,1024,32,46,14978782,12604093,3726866,973845,0.191800
dgram,20480,1024,32,47,15007164,12718168,3700152,972499,0.193300
dgram,20480,1024,32,48,15077599,12771451,3777233,989037,0.195300
dgram,20480,1024,32,49,20281076,18695875,3790713,1086896,0.207200
dgram,20480,1024,32,50,18168227,16419513,3552797,911712,0.181300
dgram,20480,1024,32,51,23630189,21892766,3664794,1351785,0.186100
dgram,20480,1024,32,52,23413697,21770574,3655614,1354004,0.186000
dgram,20480,1024,32,53,19373790,17274004,3710877,1394519,0.190000
dgram,20480,1024,32,54,19562328,17678360,3750657,1420712,0.194600
dgram,20480,1024,32,55,19416515,17632035,3747138,1411594,0.192300
dgram,20480,1024,32,56,19323315,17377030,3719751,1417193,0.193500
dgram,20480,1024,32,57,18972852,16789324,3574065,1321705,0.180800
dgram,20480,1024,32,58,16828510,14633446,3651345,949564,0.186900
dgram,20480,1024,32,59,16685931,14610070,3647842,936497,0.186100
dgram,20480,1024,32,60,16815691,14618188,3670638,956924,0.187800
dgram,20480,1024,32,61,15011924,12729032,3726315,974212,0.192300
dgram,20480,1024,32,62,14916466,12643096,3719445,966471,0.191900
dgram,20480,1024,32,63,15103355,12744780,3748561,995035,0.194400
dgram,20480,1024,32,64,14945030,12632841,3740376,995953,0.193800
dgram,20480,2048,32,1,18829114,17449968,3685128,963625,0.191900
dgram,20480,2048,32,2,18106216,16964678,3475701,1086820,0.178900
dgram,20480,2048,32,3,21978093,21057563,3538477,1308762,0.180400
dgram,20480,2048,32,4,21639776,21145210,3514823,1302244,0.180700
dgram,20480,2048,32,5,19499645,18118911,3689870,1406269,0.195200
dgram,20480,2048,32,6,19895762,18403579,3801897,1451328,0.201600
dgram,20480,2048,32,7,19492016,17964188,3786689,1425899,0.198500
dgram,20480,2048,32,8,20417794,18925001,4000399,1523773,0.212600
dgram,20480,2048,32,9,18883924,17140520,3608703,1332202,0.185600
dgram,20480,2048,32,10,17065875,15490256,3728059,963166,0.194000
dgram,20480,2048,32,11,16108174,14525109,3529374,902715,0.184700
dgram,20480,2048,32,12,16580646,14680443,3623300,915888,0.187700
dgram,20480,2048,32,13,15897298,13772609,3811214,1018613,0.206500
dgram,20480,2048,32,14,15985127,13923792,3841264,1021550,0.207200
dgram,20480,2048,32,15,15665793,13420376,3799220,1024289,0.204500
dgram,20480,2048,32,16,15664815,13438381,3764703,1017587,0.205000
dgram,20480,2048,32,17,18397841,17350358,3668252,946244,0.188200
dgram,20480,2048,32,18,19316540,17600968,3665375,1155105,0.187400
dgram,20480,2048,32,19,22008061,21598273,3627156,1329555,0.184700
dgram,20480,2048,32,20,21535407,21618963,3569857,1328361,0.182900
dgram,20480,2048,32,21,20471200,18704603,3931840,1525394,0.211200
dgram,20480,2048,32,22,18409072,17326189,3592409,1384972,0.191900
dgram,20480,2048,32,23,18385329,16923662,3622612,1368646,0.188700
dgram,20480,2048,32,24,19527843,17887649,3916525,1531285,0.212700
dgram,20480,2048,32,25,19032849,17179521,3630567,1344457,0.185400
dgram,20480,2048,32,26,16528706,14979820,3604374,918643,0.187300
dgram,20480,2048,32,27,16690875,14864280,3713769,953649,0.191300
dgram,20480,2048,32,28,16252522,14516442,3573621,902822,0.185400
dgram,20480,2048,32,29,16063130,13779140,3852157,1030225,0.209000
dgram,20480,2048,32,30,15147300,13206754,3666721,967816,0.197300
dgram,20480,2048,32,31,15758321,13543178,3802724,1026844,0.207400
dgram,20480,2048,32,32,15081749,13011075,3683658,998264,0.198800
dgram,20480,2048,32,33,18129653,16528156,3579848,910258,0.183900
dgram,20480,2048,32,34,18223647,16211323,3541062,883162,0.180800
dgram,20480,2048,32,35,21415656,20664376,3492271,1284466,0.177500
dgram,20480,2048,32,36,22102971,21724615,3586688,1320481,0.182100
dgram,20480,2048,32,37,19398327,18052322,3660357,1388414,0.192700
dgram,20480,2048,32,38,19714366,18571303,3827326,1446630,0.200600
dgram,20480,2048,32,39,18567701,16760089,3655889,1389026,0.192600
