algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dpotrs,8192,320,32,1,3916982,3719900,380725,228154,0.049800
dpotrs,8192,320,32,2,3250236,3152580,399346,189444,0.034700
dpotrs,8192,320,32,3,2487603,2168635,387779,192734,0.031200
dpotrs,8192,320,32,4,2206598,2048212,346729,171987,0.035200
dpotrs,8192,640,32,1,2453119,2418206,391711,160420,0.029300
dpotrs,8192,640,32,2,2646966,2567620,394113,167291,0.028300
dpotrs,8192,640,32,3,3182671,2815850,487320,238879,0.044700
dpotrs,8192,640,32,4,2624749,2354975,463116,197692,0.039200
dpotrs,8192,960,32,1,3410392,3063225,519757,235085,0.043100
dpotrs,8192,960,32,2,3656424,3371574,519313,222599,0.043600
dpotrs,8192,960,32,3,2380670,2077753,429073,161721,0.032700
dpotrs,8192,960,32,4,2943902,2645013,535286,308677,0.044300
dpotrs,8192,1280,32,1,3573355,2854363,593976,246253,0.047900
dpotrs,8192,1280,32,2,4263050,3644339,667218,372968,0.058200
dpotrs,8192,1280,32,3,3805776,3152640,651291,363941,0.055100
dpotrs,8192,1280,32,4,4489612,3883474,754336,394893,0.067000
