algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dtrtri,12288,320,32,1,128649878,125857039,18567055,10393122,0.939800
dtrtri,12288,320,32,2,123520619,119918882,19063234,10557673,0.999300
dtrtri,12288,320,32,3,129203282,125724837,18594288,10400282,0.942900
dtrtri,12288,320,32,4,122107414,118422549,18743005,10553389,0.987200
dtrtri,12288,320,32,5,97106014,92819160,18208422,9398102,0.926700
dtrtri,12288,320,32,6,98138909,90866528,18914748,10012305,1.000500
dtrtri,12288,320,32,7,97547663,91468516,18072130,9275319,0.921300
dtrtri,12288,320,32,8,96235410,90259473,18497746,9730005,0.986800
dtrtri,12288,640,32,1,135618916,128511207,19796624,10843951,1.002100
dtrtri,12288,640,32,2,129407994,121792108,20414286,11748533,1.065600
dtrtri,12288,640,32,3,137142655,129356358,20044913,11115940,1.016400
dtrtri,12288,640,32,4,130432527,120495297,20525439,11314610,1.070100
dtrtri,12288,640,32,5,110684409,102191388,20413566,11516341,1.044300
dtrtri,12288,640,32,6,103146770,93809635,20450393,11508201,1.082400
dtrtri,12288,640,32,7,109677087,100933031,20268644,11380277,1.051100
dtrtri,12288,640,32,8,105987461,96318296,20976391,11926733,1.102100
dtrtri,12288,960,32,1,123780566,117911380,17922099,9829317,0.916900
dtrtri,12288,960,32,2,119342346,109263576,18766322,10515063,0.994800
dtrtri,12288,960,32,3,124027210,117764836,17933053,10063636,0.932600
dtrtri,12288,960,32,4,118880861,110374534,18681223,10400328,1.014100
dtrtri,12288,960,32,5,103687357,98698905,18661165,10371289,0.985600
dtrtri,12288,960,32,6,101427536,91570078,19432056,10916428,1.061100
dtrtri,12288,960,32,7,103429484,97782648,18543600,10362950,0.984400
dtrtri,12288,960,32,8,101149277,92219307,19466985,11027751,1.071300
dtrtri,12288,1280,32,1,122353935,103758402,17270991,8764774,0.926400
dtrtri,12288,1280,32,2,116179756,98280510,18092036,9917001,1.006600
dtrtri,12288,1280,32,3,113542556,120525570,17870277,10056384,0.995700
dtrtri,12288,1280,32,4,116171456,106655427,19010250,9787884,1.082100
dtrtri,12288,1280,32,5,114214124,104097878,19964281,10721475,1.177500
dtrtri,12288,1280,32,6,112516679,97207026,20827921,11824314,1.279700
dtrtri,12288,1280,32,7,112207476,106464388,19977394,10597117,1.198600
dtrtri,12288,1280,32,8,111560567,102684124,21099159,12242923,1.320300
