algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dlauum,12288,320,32,1,144614315,134842795,22378821,11316691,1.130600
dlauum,12288,320,32,2,143228454,134412010,21824425,12115228,1.104300
dlauum,12288,320,32,3,136740068,128902685,21258814,12237476,1.075800
dlauum,12288,320,32,4,143037903,133028773,22547427,11204481,1.140800
dlauum,12288,320,32,5,137571608,130115695,21362395,12466501,1.075400
dlauum,12288,320,32,6,139334482,130057650,21909753,11510664,1.112400
dlauum,12288,320,32,7,142226870,131472259,22869614,11109452,1.154800
dlauum,12288,320,32,8,134223289,125662948,21404776,12086571,1.091700
dlauum,12288,320,32,9,105759678,96355100,21647450,11396342,1.108500
dlauum,12288,320,32,10,107432220,97640009,22243722,11121019,1.139900
dlauum,12288,320,32,11,104043435,95312378,21545720,11545992,1.106600
dlauum,12288,320,32,12,102509381,93356878,21203888,11248209,1.091400
dlauum,12288,320,32,13,107018342,96804378,22342147,10810949,1.139400
dlauum,12288,320,32,14,103500590,94655397,21250537,11756596,1.096900
dlauum,12288,320,32,15,103909707,94521548,21741652,11367900,1.121600
dlauum,12288,320,32,16,105849583,96024839,22157399,11104082,1.134600
dlauum,12288,640,32,1,137171097,128045570,20667118,10731145,1.074200
dlauum,12288,640,32,2,136976639,129992099,20561547,11112941,1.072300
dlauum,12288,640,32,3,134876059,128047036,20978105,11115022,1.100000
dlauum,12288,640,32,4,125644087,120549924,19028779,12301582,1.007600
dlauum,12288,640,32,5,130151034,126088178,20190660,11588878,1.062800
dlauum,12288,640,32,6,134320945,125017136,20681132,10914011,1.092200
dlauum,12288,640,32,7,138173352,125690169,22075911,10459095,1.168500
dlauum,12288,640,32,8,125713973,120357785,19660255,12495035,1.058200
dlauum,12288,640,32,9,99736622,96344847,19399819,11983434,1.028900
dlauum,12288,640,32,10,104629310,97207697,19989557,11830297,1.072600
dlauum,12288,640,32,11,102382550,95099488,19934768,12151688,1.074700
dlauum,12288,640,32,12,105852268,96141112,20810693,11295026,1.120300
dlauum,12288,640,32,13,102076277,95103639,19993964,11885469,1.075000
dlauum,12288,640,32,14,100611620,96875607,19996733,12277929,1.079900
dlauum,12288,640,32,15,103889078,94474245,20846953,11441386,1.128600
dlauum,12288,640,32,16,99944202,92705390,19948706,12214939,1.091800
dlauum,12288,960,32,1,115194530,111525899,17473105,9441599,0.954100
dlauum,12288,960,32,2,115700082,110304893,17184272,9760865,0.943100
dlauum,12288,960,32,3,112382707,116668891,18122452,10007256,1.012100
dlauum,12288,960,32,4,115658395,113405960,18257781,10423385,1.043400
dlauum,12288,960,32,5,119455139,108309415,18501922,9136563,1.029900
dlauum,12288,960,32,6,120702389,112919938,19056792,9107922,1.062400
dlauum,12288,960,32,7,110326195,107805021,17723627,11164777,1.050100
dlauum,12288,960,32,8,109900536,108532071,17770537,11501026,1.072300
dlauum,12288,960,32,9,103853861,90238600,18866063,9460005,1.085000
dlauum,12288,960,32,10,97090816,93481939,17925174,10527961,1.053600
dlauum,12288,960,32,11,100459643,92308785,19029864,10049713,1.114000
dlauum,12288,960,32,12,100884751,90701000,18971495,10057424,1.113700
dlauum,12288,960,32,13,99837879,92996222,18741322,10755732,1.123800
dlauum,12288,960,32,14,103037822,92238472,19132069,10245079,1.158800
dlauum,12288,960,32,15,101380417,91451548,19557378,10119558,1.176000
dlauum,12288,960,32,16,96315244,93641484,18836794,11804546,1.152900
dlauum,12288,1280,32,1,117918826,109274012,17814448,9406746,1.053500
dlauum,12288,1280,32,2,114297986,119034669,18127057,10368182,1.096700
dlauum,12288,1280,32,3,110913412,130659151,18985923,11454804,1.196500
dlauum,12288,1280,32,4,117149236,125504623,19142457,11595456,1.245400
dlauum,12288,1280,32,5,121940240,109609338,18619549,10761576,1.175500
dlauum,12288,1280,32,6,128920996,102593182,19581399,9389411,1.234100
dlauum,12288,1280,32,7,115109080,128729467,21027601,11226528,1.389800
dlauum,12288,1280,32,8,132305326,115413523,21147232,10844900,1.465300
dlauum,12288,1280,32,9,112114703,110227623,20431238,12767926,1.375700
dlauum,12288,1280,32,10,119018433,103771219,21258509,10485213,1.408400
dlauum,12288,1280,32,11,111569905,107881804,20918619,12340812,1.417900
dlauum,12288,1280,32,12,122598441,97219111,21611633,10797792,1.447100
dlauum,12288,1280,32,13,122643973,114316907,23026408,12147144,1.596800
dlauum,12288,1280,32,14,126070783,108130521,22389775,12510259,1.587900
dlauum,12288,1280,32,15,122489982,110010461,23188420,12587968,1.621800
dlauum,12288,1280,32,16,121607966,113484024,23528417,12367404,1.647000
