algorithm,matrix_size,tile_size,threads,case,PKG1,PKG2,DRAM1,DRAM2,time
dgetrs_nopiv,12288,512,32,1,7123944,7145245,1010030,430572,0.075100
dgetrs_nopiv,12288,512,32,2,8550088,8164468,1036514,618319,0.082900
dgetrs_nopiv,12288,512,32,3,5950608,5359056,1083103,635975,0.083700
dgetrs_nopiv,12288,512,32,4,5228685,4714038,979629,566069,0.076400
dgetrs_nopiv,12288,1024,32,1,7027265,7152631,1127258,491252,0.085800
dgetrs_nopiv,12288,1024,32,2,7522503,7336224,1035673,608175,0.074900
dgetrs_nopiv,12288,1024,32,3,6158004,5391221,1150958,580726,0.080600
dgetrs_nopiv,12288,1024,32,4,6060409,5616441,1177044,641162,0.088700
dgetrs_nopiv,12288,2048,32,1,6806074,6133834,1313949,598246,0.107900
dgetrs_nopiv,12288,2048,32,2,7563396,7350384,1518724,727423,0.127400
dgetrs_nopiv,12288,2048,32,3,7606365,7333600,1546049,714372,0.131300
dgetrs_nopiv,12288,2048,32,4,7711834,6852400,1493954,705131,0.129300
