algorithm,task,matrix_size,tile_size,frequency,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,weight
qr,geqrt,32768,1024,1200000,0.641587,0.000705,0.003859,0.745638,0.612919,32
qr,ormqr,32768,1024,1200000,0.340833,0.002750,0.003782,2.540822,22.510454,496
qr,tsqrt,32768,1024,1200000,0.639036,0.000681,0.004723,0.717487,13.352426,496
qr,tsmqr,32768,1024,1200000,0.195873,0.002116,0.006929,3.159819,587.808103,10416
qr,geqrt,32768,2048,2801000,0.828866,0.052930,0.003961,0.336444,160.925610,16
qr,ormqr,32768,2048,2801000,0.587056,0.005943,0.002807,1.618447,91.196941,120
qr,tsqrt,32768,2048,2801000,0.860571,0.108110,0.002964,0.276872,3797.953659,120
qr,tsmqr,32768,2048,2801000,0.233486,0.003746,0.002246,3.023839,976.010184,1240
qr,geqrt,32768,2048,1200000,0.704319,0.051727,0.004053,0.594494,157.268683,16
qr,ormqr,32768,2048,1200000,0.357976,0.006236,0.002974,2.519661,95.695878,120
qr,tsqrt,32768,2048,1200000,0.724742,0.108340,0.002996,0.559384,3806.049113,120
qr,tsmqr,32768,2048,1200000,0.176276,0.003814,0.002301,3.256550,993.660841,1240
