algorithm,task,matrix_size,tile_size,frequency,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,weight
cholesky,syrk,32768,1024,1000000,0.195447,0.003957,inf,3.142394,12.678380,496
cholesky,gemm,32768,1024,1000000,0.164488,0.003077,inf,3.286730,184.789840,4960
cholesky,potrf,32768,2048,2601000,0.270312,0.002344,inf,2.289782,1.022072,16
cholesky,trsm,32768,2048,2601000,0.248609,0.002473,inf,2.456701,20.220601,120
cholesky,syrk,32768,2048,2601000,0.216135,0.003599,inf,3.083927,21.387596,120
cholesky,gemm,32768,2048,2601000,0.177201,0.003536,inf,3.249751,189.588989,560
cholesky,potrf,32768,2048,1000000,0.243224,0.002366,inf,2.375351,1.031636,16
cholesky,trsm,32768,2048,1000000,0.229294,0.002506,inf,2.521330,20.489558,120
cholesky,syrk,32768,2048,1000000,0.171856,0.003680,inf,3.263962,21.870016,120
cholesky,gemm,32768,2048,1000000,0.150730,0.003581,inf,3.360358,191.981052,560
