algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
cholesky,gemm,12288,2048,23068672,2801000,20,126835709,38647322490,2073512416,11864380020,126387346,38647322297,127278724,38647322413,127242862
cholesky,potrf,16384,512,23068672,1200000,32,1801154,534576455,49050004,192398782,1839936,534576283,1862118,534576164,1844885
cholesky,trsm,16384,512,23068672,1200000,496,30553208,19947634441,2851769547,8288997016,29894415,19947650960,30915238,19947643906,30456476
cholesky,syrk,16384,512,23068672,1200000,496,55788293,8770029835,746177288,3032476444,56118241,8770032311,56362185,8770033441,55633685
cholesky,gemm,16384,512,23068672,1200000,4960,545451319,155343756418,10049644131,49933341869,549624081,155343698441,548677404,155343695109,550926078
cholesky,potrf,16384,512,23068672,2801000,32,1844807,534576277,57094581,201124700,1761012,534575830,1765177,534575788,1810061
cholesky,trsm,16384,512,23068672,2801000,496,30021185,19947641447,2990664355,8419803890,30280252,19947618290,29834938,19947629302,29867269
cholesky,syrk,16384,512,23068672,2801000,496,55495933,8770034490,935276157,3220201802,55061668,8770020649,56111077,8770030590,55510732
cholesky,gemm,16384,512,23068672,2801000,4960,544423896,155343709708,11324561465,51198255185,547430818,155343677666,548230442,155343676952,544746866
cholesky,potrf,16384,1024,23068672,1200000,16,3899396,1472389793,153487184,546568280,4027547,1472385887,4020533,1472389492,3962787
cholesky,trsm,16384,1024,23068672,1200000,120,42780167,26799741258,3373923191,10563982147,42545528,26799746520,40604731,26799739653,42834106
cholesky,syrk,16384,1024,23068672,1200000,120,62121992,15646600811,975069288,4991089412,62250101,15646604259,61801762,15646604209,62327869
cholesky,gemm,16384,1024,23068672,1200000,560,410632152,136855329735,7079992874,41938460964,416020645,136855335190,395480958,136855334584,415152511
cholesky,potrf,16384,1024,23068672,2801000,16,4019809,1472385488,170829865,564265646,4107562,1472388876,4048878,1472385347,3914274
cholesky,trsm,16384,1024,23068672,2801000,120,39898861,26799745624,3452328189,10636801226,40071296,26799741404,40042574,26799741794,41062771
cholesky,syrk,16384,1024,23068672,2801000,120,61092753,15646604393,1185051162,5199836983,60801610,15646603006,60930822,15646602903,60112775
cholesky,gemm,16384,1024,23068672,2801000,560,384493633,136855324812,8015050957,42863919283,385161239,136855322840,384705164,136855327208,393511036
cholesky,potrf,16384,2048,23068672,1200000,8,9742005,4386209664,493068086,1657787635,9786500,4386209578,9764568,4386209616,9504785
cholesky,trsm,16384,2048,23068672,1200000,28,89637989,38517297978,3797789607,13921881774,87488165,38517297784,90514458,38517298847,87607283
cholesky,syrk,16384,2048,23068672,1200000,28,97155887,27989122151,1525132775,8639566717,95756688,27989123495,96810474,27989122853,94313631
cholesky,gemm,16384,2048,23068672,1200000,56,369067642,108212503777,5181611510,32574329341,358432495,108212505175,361062937,108212503106,358711494
cholesky,potrf,16384,2048,23068672,2801000,8,9390976,4386209638,525200981,1692978187,9459087,4386209365,9355812,4386209140,9567564
cholesky,trsm,16384,2048,23068672,2801000,28,86591812,38517297041,4012730473,14135557622,86041756,38517296685,87329231,38517296488,86750476
cholesky,syrk,16384,2048,23068672,2801000,28,93419021,27989122566,1814066050,8934132698,94325856,27989120256,94462374,27989122235,94576251
cholesky,gemm,16384,2048,23068672,2801000,56,357728264,108212500555,5799300090,33212560206,357040800,108212501247,353994641,108212501310,356527986
cholesky,potrf,20480,512,23068672,1200000,40,2258988,668215281,61740788,243090672,2240808,668215106,2334006,668215065,2325515
cholesky,trsm,20480,512,23068672,1200000,780,47673279,31369299307,4493211412,13089909469,47009806,31369254009,47552128,31369241500,47187050
cholesky,syrk,20480,512,23068672,1200000,780,88314573,13791593077,1172811340,4767767414,87733574,13791584530,88994638,13791585143,86954005
cholesky,gemm,20480,512,23068672,1200000,9880,1104305213,309434727280,20007891919,99453009698,1103395749,309434627091,1099154814,309434580070,1105417096
cholesky,potrf,20480,512,23068672,2801000,40,2276183,668214577,71723880,251119032,2325707,668214984,2300744,668215181,2283139
cholesky,trsm,20480,512,23068672,2801000,780,47427890,31369267240,4724097417,13261498758,46832908,31369234567,46355035,31369282191,46592510
cholesky,syrk,20480,512,23068672,2801000,780,87633456,13791590552,1474731996,5069142758,86727890,13791582758,87369648,13791580675,86875791
cholesky,gemm,20480,512,23068672,2801000,9880,1103708394,309434702651,22646405520,102080273923,1100397577,309434554316,1106747833,309434581934,1103940163
cholesky,potrf,20480,1024,23068672,1200000,20,5139180,1840481768,194126354,686265773,5178297,1840481297,5203677,1840481590,5222310
cholesky,trsm,20480,1024,23068672,1200000,190,64589269,42432934181,5252762260,16655616282,63993415,42432925172,64091110,42432924896,63917948
cholesky,syrk,20480,1024,23068672,1200000,190,98820737,24773787377,1552953288,7912073870,97747980,24773789062,98510041,24773787835,97418594
cholesky,gemm,20480,1024,23068672,1200000,1140,798713909,278598338175,14455109784,85414445883,786528104,278598358225,803312841,278598358074,797829814
cholesky,potrf,20480,1024,23068672,2801000,20,5004493,1840481066,210855553,702708180,4801075,1840481164,5060676,1840480497,4807785
cholesky,trsm,20480,1024,23068672,2801000,190,64264026,42432925895,5479110199,16876308054,65640607,42432920613,62718354,42432917503,65746491
cholesky,syrk,20480,1024,23068672,2801000,190,97116472,24773789123,1874164949,8230585413,96255739,24773787930,96738820,24773788569,96316289
cholesky,gemm,20480,1024,23068672,2801000,1140,783444340,278598358764,16299695091,87241626722,808182970,278598346214,782220331,278598347125,812162608
cholesky,potrf,20480,2048,23068672,1200000,10,12359584,5482753900,606701565,2060996084,11861227,5482756323,12131586,5482756725,11962295
cholesky,trsm,20480,2048,23068672,1200000,45,140841327,61902803082,6103829182,22368589748,139402295,61902802555,141969252,61902800825,140735119
cholesky,syrk,20480,2048,23068672,1200000,45,154416748,44982520358,2443810668,13876389511,151426871,44982519697,153601673,44982519785,152933720
cholesky,gemm,20480,2048,23068672,1200000,120,767302382,231883939631,11066501920,69755879081,767133712,231883939602,761322678,231883939644,771189922
cholesky,potrf,20480,2048,23068672,2801000,10,11830654,5482753160,666713293,2120957212,11989292,5482756335,12338633,5482756273,12047913
cholesky,trsm,20480,2048,23068672,2801000,45,140352723,61902797955,6452369962,22721092811,141172339,61902797355,140657469,61902797633,139924439
cholesky,syrk,20480,2048,23068672,2801000,45,150207403,44982517957,2910517146,14350833497,150666476,44982515566,152022420,44982517643,151201953
cholesky,gemm,20480,2048,23068672,2801000,120,760216691,231883931031,12391246634,71132980801,767814356,231883921507,761088368,231883929173,766129727
cholesky,potrf,24576,512,23068672,1200000,48,2814062,801854992,73939778,290260106,2843575,801853187,2653101,801853992,2874868
cholesky,trsm,24576,512,23068672,1200000,1128,66671932,45364788574,6492319908,18876885244,67107565,45364743254,66151958,45364801468,67946005
cholesky,syrk,24576,512,23068672,1200000,1128,126482432,19944764140,1696167848,6896017651,126916226,19944703264,127917108,19944744320,128772581
cholesky,gemm,24576,512,23068672,1200000,17296,1941424711,541698591048,35112262564,174196858248,1915830753,541698090667,1920520919,541698481418,1935346510
cholesky,potrf,24576,512,23068672,2801000,48,2770033,801854562,86034442,301380245,2808840,801853969,2767205,801853915,2617292
cholesky,trsm,24576,512,23068672,2801000,1128,68129537,45364785465,6801851239,19160193154,66790928,45364768176,68084674,45364768879,65908825
cholesky,syrk,24576,512,23068672,2801000,1128,126185560,19944761033,2127325431,7326310386,127139203,19944750169,128608409,19944741079,124618500
cholesky,gemm,24576,512,23068672,2801000,17296,1939414930,541698607747,39644873197,178704344348,1924997245,541698422331,1940703996,541698429341,1926701831
cholesky,potrf,24576,1024,23068672,1200000,24,6044584,2208574624,232792680,822653650,6212160,2208574627,6229704,2208573904,5946131
cholesky,trsm,24576,1024,23068672,1200000,276,94489514,61639413745,7628857501,24174779351,92809449,61639412789,102929598,61639410416,98960755
cholesky,syrk,24576,1024,23068672,1200000,276,142456046,35987191962,2249933936,11486778033,139659529,35987189603,147118869,35987189027,141495550
cholesky,gemm,24576,1024,23068672,1200000,2024,1392296658,494634297747,25627382679,151599889899,1405023710,494634279959,1528461548,494634280959,1493021074
cholesky,potrf,24576,1024,23068672,2801000,24,6087221,2208568954,256478004,846599161,6080251,2208572285,5842956,2208568796,6088064
cholesky,trsm,24576,1024,23068672,2801000,276,96706883,61639409550,7959995589,24488768223,91631146,61639405602,95484842,61639404918,90977712
cholesky,syrk,24576,1024,23068672,2801000,276,141686911,35987191086,2728446859,11964324390,141548849,35987182324,138507342,35987188081,141065481
cholesky,gemm,24576,1024,23068672,2801000,2024,1452967104,494634283847,28951261250,154912232474,1402598946,494634117223,1426899318,494634257387,1402050790
cholesky,potrf,24576,2048,23068672,1200000,12,14345144,6579304089,728191494,2476573020,14764983,6579300493,14655076,6579302968,14693488
cholesky,trsm,24576,2048,23068672,1200000,66,205496221,90790776313,8938021747,32811315556,207502676,90790774618,208524721,90790776452,207323738
cholesky,syrk,24576,2048,23068672,1200000,66,222809016,65974362985,3584261993,20354779322,222873708,65974362354,222623995,65974362580,227467870
cholesky,gemm,24576,2048,23068672,1200000,220,1403884577,425120558341,20271923749,127886463692,1407400507,425120550070,1406771884,425120555861,1406071841
cholesky,potrf,24576,2048,23068672,2801000,12,14688939,6579303118,794001503,2538452893,14512721,6579302794,14995097,6579303133,14540473
cholesky,trsm,24576,2048,23068672,2801000,66,204430235,90790773244,9459987367,33320375263,207619232,90790772696,213755721,90790769543,206114328
cholesky,syrk,24576,2048,23068672,2801000,66,221969324,65974355829,4262527230,21040109707,221372623,65974359651,225340888,65974359459,222243772
cholesky,gemm,24576,2048,23068672,2801000,220,1385696525,425120537592,22707215886,130396805249,1409810553,425120537583,1427853385,425120535202,1404164596
cholesky,potrf,28672,512,23068672,1200000,56,3281788,935493923,85818896,337341187,3334736,935493229,3373922,935492786,3066894
cholesky,trsm,28672,512,23068672,1200000,1540,89649386,61934205518,8842052095,25722660492,94011106,61934167249,91405189,61934213289,91591958
cholesky,syrk,28672,512,23068672,1200000,1540,173486091,27229546930,2315104166,9413042744,175736592,27229537571,172692477,27229540085,171919687
cholesky,gemm,28672,512,23068672,1200000,27720,3095926142,868171068331,56163693758,279063953560,3115845298,868170726154,3091218790,868170831587,3105936603
cholesky,potrf,28672,512,23068672,2801000,56,3212280,935493999,100800034,352405681,3342327,935493164,3298893,935492687,3287542
cholesky,trsm,28672,512,23068672,2801000,1540,89314887,61934212221,9323972533,26225257648,93753513,61934165954,90835911,61934234418,91279003
cholesky,syrk,28672,512,23068672,2801000,1540,169635551,27229544298,2898918955,9996263735,174215057,27229453462,172274927,27229531542,172428074
cholesky,gemm,28672,512,23068672,2801000,27720,3106272937,868170931872,63576692219,286433101170,3129502559,868170700369,3118974391,868170741879,3113443294
cholesky,potrf,28672,1024,23068672,1200000,28,7218624,2576665881,266926375,956188172,7102883,2576666036,6894882,2576659490,7261286
cholesky,trsm,28672,1024,23068672,1200000,378,139159613,84419184711,10455145445,33129421688,138512980,84419197995,135164191,84419182236,137553908
cholesky,syrk,28672,1024,23068672,1200000,378,198613686,49286806945,3082447366,15733324060,201117902,49286801374,192764758,49286800826,193683041
cholesky,gemm,28672,1024,23068672,1200000,3276,2482512076,800603743212,41428518247,245355352937,2401820617,800603692911,2410431323,800603704475,2417804046
cholesky,potrf,28672,1024,23068672,2801000,28,7307487,2576666126,295124800,986049781,7026256,2576659168,6878291,2576665348,7174150
cholesky,trsm,28672,1024,23068672,2801000,378,125973136,84419202554,10867087724,33548554127,126757722,84419182525,132218014,84419181541,126845341
cholesky,syrk,28672,1024,23068672,2801000,378,196118278,49286803067,3740141983,16387726337,191327739,49286798094,189259728,49286797654,192796943
cholesky,gemm,28672,1024,23068672,2801000,3276,2284674414,800603705979,46742830275,250622048633,2257539566,800603661325,2325030998,800603655944,2247598289
cholesky,potrf,28672,2048,23068672,1200000,14,17200795,7675850528,851380360,2890857467,16969505,7675846360,17031934,7675850662,16681723
cholesky,trsm,28672,2048,23068672,1200000,91,289466492,125181224965,12322422850,45245100635,285206004,125181222701,285117649,125181221690,283981334
cholesky,syrk,28672,2048,23068672,1200000,91,308811128,90964651377,4944376656,28067776507,311149818,90964649703,302265154,90964647144,302543328
cholesky,gemm,28672,2048,23068672,1200000,364,2350645294,703381284363,33495754451,211535599244,2314431934,703381281513,2310664912,703381270438,2308505701
cholesky,potrf,28672,2048,23068672,2801000,14,17103625,7675850062,930780573,2966238211,16912080,7675849832,16823504,7675849177,16726580
cholesky,trsm,28672,2048,23068672,2801000,91,285178563,125181218641,13101224915,45997856844,283492626,125181213228,285142986,125181217070,281496121
cholesky,syrk,28672,2048,23068672,2801000,91,304633408,90964644421,5880835453,29020347968,304899396,90964647469,301969632,90964647476,299541035
cholesky,gemm,28672,2048,23068672,2801000,364,2300298469,703381247149,37446904388,215643374539,2313853250,703381250586,2310585910,703381245397,2283824705
