type,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_VEC_DP,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW
compute,615114,60010029,23185791,1288343,20000000,9914,33734,669858,635
memory,622871,30010026,16076386,2960162,0,449165,27754,654454,759
