type,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP,PAPI_L2_TCR,PAPI_L2_TCW
compute,3684,6001235,2286926,94264,64552,84,2000000,927,4238
memory,48125,3001233,1591081,277735,64329,89,0,44792,3570
