algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_BR_MSP,
dpoinv,syrk,8000,900,23068672,1200000,72,15294611,6203734342,378996523,1958891942,520285,
dpoinv,gemm,8000,900,23068672,1200000,252,110913277,40336176267,1923376033,12104152993,607550,
dpoinv,trtri,8000,900,23068672,1200000,9,1251973,559350841,98372287,270991107,204324,
dpoinv,lauum,8000,900,23068672,1200000,9,365412,285564316,21901780,96822957,86907,
dpoinv,trmm,8000,900,23068672,1200000,36,7419149,2903456556,171825657,905851413,153297,
dpoinv,potrf,8000,900,23068672,2801000,9,881893,569983458,55784931,250560454,162708,
dpoinv,trsm,8000,900,23068672,2801000,108,25461178,15905045037,2374894682,7377770161,3129742,
dpoinv,syrk,8000,900,23068672,2801000,72,14373137,6203734075,545191908,2126944114,525576,
dpoinv,gemm,8000,900,23068672,2801000,252,104597798,40336174744,2621798961,12807054637,578447,
dpoinv,trtri,8000,900,23068672,2801000,9,1207082,559350826,115322279,288883677,255516,
dpoinv,lauum,8000,900,23068672,2801000,9,374744,285564302,32065793,107343012,86927,
dpoinv,trmm,8000,900,23068672,2801000,36,7280944,2903456610,258084790,993585894,156270,
dpoinv,potrf,8000,1000,23068672,1200000,8,989803,689398823,59928946,291552857,198305,
dpoinv,trsm,8000,1000,23068672,1200000,84,28152043,16642149214,2113427848,7284969025,3080952,
dpoinv,syrk,8000,1000,23068672,1200000,56,16219195,6788917609,386045654,2111715591,583265,
dpoinv,gemm,8000,1000,23068672,1200000,168,101040177,38180562583,1803105263,11458611875,2199273,
dpoinv,trtri,8000,1000,23068672,1200000,8,1436814,645065726,110618700,306226780,217963,
dpoinv,lauum,8000,1000,23068672,1200000,8,478812,352296755,26866229,119068685,116027,
dpoinv,trmm,8000,1000,23068672,1200000,28,7608883,3222584743,183416606,997062819,150040,
dpoinv,potrf,8000,1000,23068672,2801000,8,993917,689399273,68685776,300563076,206801,
dpoinv,trsm,8000,1000,23068672,2801000,84,27485171,16642148408,2407763772,7578642185,3126698,
dpoinv,syrk,8000,1000,23068672,2801000,56,15933649,6788916397,561134986,2288936338,583380,
dpoinv,gemm,8000,1000,23068672,2801000,168,97184803,38180561195,2422802272,12085970871,2205307,
dpoinv,trtri,8000,1000,23068672,2801000,8,1343378,645065573,128692655,324807836,223055,
dpoinv,lauum,8000,1000,23068672,2801000,8,485424,352296679,40412331,132984016,114753,
dpoinv,trmm,8000,1000,23068672,2801000,28,7436320,3222584518,266156914,1081495280,146326,
dpoinv,potrf,8000,1100,23068672,1200000,8,1072990,778066806,72305803,334706082,195352,
dpoinv,trsm,8000,1100,23068672,1200000,84,29226061,17386865190,2233735772,7587750726,3098445,
dpoinv,syrk,8000,1100,23068672,1200000,56,17929658,7119075512,406881560,2210343176,312221,
dpoinv,gemm,8000,1100,23068672,1200000,168,100452437,36950588566,1722566739,11038291956,637563,
dpoinv,trtri,8000,1100,23068672,1200000,8,1535114,728653630,128279411,349512996,302581,
dpoinv,lauum,8000,1100,23068672,1200000,8,595780,403193291,29532417,133951301,86146,
dpoinv,trmm,8000,1100,23068672,1200000,28,7613603,3289281083,183993842,1013851127,147519,
dpoinv,potrf,8000,1100,23068672,2801000,8,1025968,778066548,81644347,344381926,213192,
dpoinv,trsm,8000,1100,23068672,2801000,84,28618979,17386863858,2503260087,7866447359,3166248,
dpoinv,syrk,8000,1100,23068672,2801000,56,17581576,7119073887,601185869,2408029420,322551,
dpoinv,gemm,8000,1100,23068672,2801000,168,96886750,36950587025,2332024750,11659767236,650329,
dpoinv,trtri,8000,1100,23068672,2801000,8,1449312,728653438,147779696,368029098,229947,
dpoinv,lauum,8000,1100,23068672,2801000,8,585450,403193596,44901191,149820194,85418,
dpoinv,trmm,8000,1100,23068672,2801000,28,7593141,3289280952,268229627,1100333371,145861,
dpoinv,potrf,10000,500,23068672,1200000,20,630933,312355520,20519812,133020942,149999,
dpoinv,trsm,10000,500,23068672,1200000,570,34618963,20036875371,3049826824,9740897098,5254963,
dpoinv,syrk,10000,500,23068672,1200000,380,17551206,6240388903,476344308,2083049898,863111,
dpoinv,gemm,10000,500,23068672,1200000,3420,347839125,99589909926,5691144163,30962061198,2251796,
dpoinv,trtri,10000,500,23068672,1200000,20,647618,368471650,59352074,179335331,190089,
dpoinv,lauum,10000,500,23068672,1200000,20,325441,131924472,12805453,48989666,77515,
dpoinv,trmm,10000,500,23068672,1200000,190,9996569,2865164619,204324480,932235248,308782,
dpoinv,potrf,10000,500,23068672,2801000,20,608781,312355061,27025194,139977292,151641,
dpoinv,trsm,10000,500,23068672,2801000,570,35035806,20036873222,3596060786,10258405498,5195589,
dpoinv,syrk,10000,500,23068672,2801000,380,17108374,6240387595,686385382,2295242717,876122,
dpoinv,gemm,10000,500,23068672,2801000,3420,330644661,99589905205,8245454499,33527236690,2303793,
dpoinv,trtri,10000,500,23068672,2801000,20,665700,368472161,67595085,187783460,177424,
dpoinv,lauum,10000,500,23068672,2801000,20,326254,131923897,21780131,58383218,76246,
dpoinv,trmm,10000,500,23068672,2801000,190,9929968,2865163524,331127801,1061370268,303238,
dpoinv,potrf,10000,600,23068672,1200000,17,760402,402684113,27348381,169447145,139463,
