algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_VEC_DP
invert,trsm,10240,1024,37486592,1000000,45,17800302,7856378142,3555973652,1384194602,429671725,33763940,63458033,1366194,6144422400
invert,getri,10240,1024,37486592,1000000,10,7111395,2591839127,1316458247,600891567,112802268,32993322,83245943,3880904,1867119680
invert,getrf,10240,1024,37486592,4000000,10,9394733,1638648353,946661429,509508900,66819981,8817786,33790477,2650361,979639010
invert,gemm,10240,1024,37486592,4000000,285,194950522,69083144229,22203688693,4628120402,307022442,269678610,638001456,4199003,76728239220
invert,trsm,10240,1024,37486592,4000000,45,17057664,7856377853,3632982624,1462566498,430100873,32051524,61878524,2012644,6144422400
invert,getri,10240,1024,37486592,4000000,10,7535811,2591838734,1532273582,815858260,111973654,32185636,80748518,4231887,1867119680
invert,getrf,10240,2048,37486592,1000000,5,29134166,4895115563,2502167072,1192000626,183093964,22485034,81685912,3453955,3754242545
invert,gemm,10240,2048,37486592,1000000,30,144551964,57732018211,17752512617,3114969392,255818124,165024614,470483271,1394103,64613253240
invert,trsm,10240,2048,37486592,1000000,10,22568586,11821664809,4655907320,1500109034,413859914,39070272,86306275,1077554,10844180480
invert,getri,10240,2048,37486592,1000000,5,32720225,8340249995,4211552131,1955373902,288279385,118648888,216421256,6090591,7298616960
invert,getrf,10240,2048,37486592,4000000,5,29553024,4895114964,2920533977,1611320098,183520107,21969652,81481416,3481539,3754242545
invert,gemm,10240,2048,37486592,4000000,30,147455616,57732014763,18165141669,3514845276,255187394,164918758,469191817,1661757,64613253240
invert,trsm,10240,2048,37486592,4000000,10,22332210,11821663811,4751242727,1595448294,412780211,36834302,85301021,1626574,10844180480
invert,getri,10240,2048,37486592,4000000,5,31968474,8340249005,4759046812,2505217029,289872633,116210320,208772752,6850581,7298616960
invert,getrf,12288,256,37486592,1000000,48,2220029,289963434,127478143,45894266,10474690,2136218,4650006,439864,91869552
invert,gemm,12288,256,37486592,1000000,35720,1147639593,141831585194,50276905228,13347562197,1483914059,1489954568,2077105679,15876085,150405918240
invert,trsm,12288,256,37486592,1000000,1128,19853444,5262165394,2899507834,1341964194,453408327,41875736,51493806,2075405,2513292288
invert,getri,12288,256,37486592,1000000,48,2031288,488617492,237589583,93862300,30902464,4741995,4743873,175004,169112832
invert,getrf,12288,256,37486592,4000000,48,2350137,289962994,154421827,72901664,10455186,2071670,4610300,441867,91869552
invert,gemm,12288,256,37486592,4000000,35720,1138767577,141831232139,54197352841,17251960233,1447442771,1480386620,2015777580,20566813,150405918240
