algorithm,task,matrix_size,tile_size,frequency,papi_l3_tcm,papi_tot_ins,papi_res_stl,papi_tot_cyc,papi_br_msp,weight,l3_cache_size
lu,getrfpiv,8192,512,2801000,27553826,2815876404,871883207,1658119481,428412,16,23068672
lu,trsmswp,8192,512,2801000,45085952,5001872800,4047992407,5847473626,1148921,120,23068672
lu,gemm,8192,512,2801000,121275383,38216899161,3333512783,13071260038,682690,1240,23068672
lu,geswp,8192,512,2801000,9719629,200656852,1433624870,1515515967,1544,15,23068672
lu,getrfpiv,8192,512,1200000,27680300,2815876474,492036155,1274782114,449819,16,23068672
lu,trsmswp,8192,512,1200000,45186321,5001873241,1721586126,3514135625,1122213,120,23068672
lu,gemm,8192,512,1200000,125060020,38216902836,2517527900,12249399763,689162,1240,23068672
lu,geswp,8192,512,1200000,9575797,200656903,816081857,892098891,554,15,23068672
lu,getrfpiv,8192,1024,2801000,31071624,5055341687,1074317365,2549651950,406484,8,23068672
lu,trsmswp,8192,1024,2801000,45578390,6412468371,4413143577,6537898692,1094670,28,23068672
lu,gemm,8192,1024,2801000,86030979,33935223097,2422606168,11047248879,1970030,140,23068672
lu,geswp,8192,1024,2801000,16306679,185188844,1990005426,2069671215,28777,7,23068672
lu,getrfpiv,8192,1024,1200000,31785619,5055341938,637938144,2066251566,407399,8,23068672
lu,trsmswp,8192,1024,1200000,45589888,6412468675,1846910412,3967740330,1094416,28,23068672
lu,gemm,8192,1024,1200000,90940724,33935224359,1870641470,10480908486,1954050,140,23068672
lu,geswp,8192,1024,1200000,16024812,185188845,884195133,961126692,28787,7,23068672
lu,getrfpiv,8192,2048,2801000,55194643,9884703179,1608672904,4340958247,595862,4,23068672
lu,trsmswp,8192,2048,2801000,61585958,8387738306,4424665867,6977559612,941744,6,23068672
lu,gemm,8192,2048,2801000,91190554,26941397594,1758192030,8584670909,265523,14,23068672
lu,geswp,8192,2048,2801000,33689903,157837184,2905634160,2976684351,12372,3,23068672
lu,getrfpiv,8192,2048,1200000,55274362,9884703758,1000805067,3704868510,660982,4,23068672
lu,trsmswp,8192,2048,1200000,60874249,8387738767,1831235590,4379785016,940393,6,23068672
lu,gemm,8192,2048,1200000,94117108,26941398731,1381071211,8189321102,267418,14,23068672
lu,geswp,8192,2048,1200000,31908951,157837193,913348436,981501409,12373,3,23068672
lu,getrfpiv,12288,512,2801000,69140542,6125335918,2028223284,3717663098,696070,24,23068672
lu,trsmswp,12288,512,2801000,114988317,11504280986,9916273122,14053640157,2611035,276,23068672
lu,gemm,12288,512,2801000,443888123,133266030825,11616729234,45575853977,2407330,4324,23068672
lu,geswp,12288,512,2801000,27695904,461796420,3591678641,3784497093,794,23,23068672
lu,getrfpiv,12288,512,1200000,69883442,6125336251,1100406208,2780417386,656848,24,23068672
lu,trsmswp,12288,512,1200000,115800169,11504282219,4089952551,8217146186,2581104,276,23068672
lu,gemm,12288,512,1200000,459171707,133266037679,8793762441,42728070063,2404156,4324,23068672
lu,geswp,12288,512,1200000,27946043,461796787,1922042166,2100274026,3500,23,23068672
lu,getrfpiv,12288,1024,2801000,78235698,10869203865,2429875430,5567003672,704140,12,23068672
lu,trsmswp,12288,1024,2801000,118246798,15115078087,10900765354,15900478345,2581043,66,23068672
lu,gemm,12288,1024,2801000,326743967,122651589870,8626832006,39777894873,7016383,506,23068672
lu,geswp,12288,1024,2801000,48924686,436789672,5424500815,5616425958,67686,11,23068672
lu,getrfpiv,12288,1024,1200000,79541025,10869204361,1390961935,4420652772,701291,12,23068672
lu,trsmswp,12288,1024,1200000,118519466,15115078719,4497620333,9486564609,2584972,66,23068672
lu,gemm,12288,1024,1200000,340729743,122651593405,6741592531,37862245396,6976824,506,23068672
lu,geswp,12288,1024,1200000,48317193,436789668,2195291899,2379692131,67715,11,23068672
lu,getrfpiv,12288,2048,2801000,124486710,20973340592,3523957251,9237802277,989865,6,23068672
lu,trsmswp,12288,2048,2801000,159907867,20969332871,11323750485,17708312212,2406091,15,23068672
lu,gemm,12288,2048,2801000,352697536,105841202716,6740146267,33539333868,1039818,55,23068672
lu,geswp,12288,2048,2801000,90438694,394830204,7670173389,7849779958,30901,5,23068672
lu,getrfpiv,12288,2048,1200000,124305366,20973341553,2109114765,7754297572,978165,6,23068672
lu,trsmswp,12288,2048,1200000,158653835,20969334011,4669277680,11039958988,2339683,15,23068672
lu,gemm,12288,2048,1200000,360310367,105841206987,5344483122,32090939861,1049873,55,23068672
lu,geswp,12288,2048,1200000,87123809,394830142,2367272179,2539076898,30895,5,23068672
lu,getrfpiv,16384,512,2801000,132541142,10698713975,3747255028,6685894929,1137399,32,23068672
lu,trsmswp,16384,512,2801000,220009221,20674400411,18375399528,25814578341,4624101,496,23068672
lu,gemm,16384,512,2801000,1089817240,321021974746,28114886457,109912480893,5757515,10416,23068672
lu,geswp,16384,512,2801000,62292686,830594189,7196963801,7549769086,1219,31,23068672
lu,getrfpiv,16384,512,1200000,134572083,10698714479,2004113213,4927458273,1383107,32,23068672
lu,trsmswp,16384,512,1200000,220671858,20674401966,7472901648,14897846919,4887111,496,23068672
lu,gemm,16384,512,1200000,1116746408,321021985469,21179425229,102928679101,5900729,10416,23068672
lu,geswp,16384,512,1200000,62646291,830594170,3599048431,3922642274,6185,31,23068672
lu,getrfpiv,16384,1024,2801000,146991756,18870102412,4398240070,9818462492,1036621,16,23068672
lu,trsmswp,16384,1024,2801000,228097011,27482000801,20344677481,29449997723,4744019,120,23068672
lu,gemm,16384,1024,2801000,828073769,300569113607,21120223309,97442978820,17230014,1240,23068672
lu,geswp,16384,1024,2801000,106037548,794832188,11006843427,11360288217,122970,15,23068672
lu,getrfpiv,16384,1024,1200000,148623193,18870103622,2482860180,7709581538,1047201,16,23068672
lu,trsmswp,16384,1024,1200000,228618735,27482002158,8247643238,17348928152,4711425,120,23068672
lu,gemm,16384,1024,1200000,883820203,300569125276,16508031683,92764227971,17139411,1240,23068672
lu,geswp,16384,1024,1200000,107021706,794832160,4199161110,4540197575,123130,15,23068672
lu,getrfpiv,16384,2048,2801000,219797891,36155740917,6198897490,15972272834,1430601,8,23068672
lu,trsmswp,16384,2048,2801000,300884653,39142778669,21222397849,33141610293,4391546,28,23068672
lu,gemm,16384,2048,2801000,902515151,269413969137,17109387510,85342064209,2661711,140,23068672
lu,geswp,16384,2048,2801000,179082238,737652128,14888084771,15226089845,57508,7,23068672
lu,getrfpiv,16384,2048,1200000,227293623,36155742651,3657378926,13316187050,1430017,8,23068672
lu,trsmswp,16384,2048,1200000,305563163,39142780791,8773705718,20683087271,4357368,28,23068672
lu,gemm,16384,2048,1200000,915014153,269413980808,13533576939,81603354631,2677877,140,23068672
lu,geswp,16384,2048,1200000,175726675,737652157,4589149331,4911554107,57602,7,23068672
lu,getrfpiv,20480,512,2801000,215883098,16540903862,5943845566,10460862623,1405120,40,23068672
lu,trsmswp,20480,512,2801000,354092812,32512172018,29259699227,40975721793,8019929,780,23068672
lu,gemm,20480,512,2801000,2149252141,633044482448,55400789467,216688890494,11370771,20540,23068672
lu,geswp,20480,512,2801000,114235510,1306353770,12358400730,12920163684,3101,39,23068672
lu,getrfpiv,20480,512,1200000,219684115,16540904764,3122162300,7616529270,1487399,40,23068672
lu,trsmswp,20480,512,1200000,355743175,32512175208,11815084956,23487017714,7310863,780,23068672
lu,gemm,20480,512,1200000,2216219105,633044505795,41767655471,202956930344,11439388,20540,23068672
lu,geswp,20480,512,1200000,115308448,1306354173,5714190507,6228960308,3930,39,23068672
lu,getrfpiv,20480,1024,2801000,237617933,29062910581,6816678216,15124542000,1430073,20,23068672
lu,trsmswp,20480,1024,2801000,363697091,43513177818,32243042235,46662784255,7494672,190,23068672
lu,gemm,20480,1024,2801000,1628777776,598714279077,42244435415,194280406727,34233324,2470,23068672
lu,geswp,20480,1024,2801000,187134549,1258656956,18691100924,19254850361,194882,19,23068672
