algorithm,task,matrix_size,tile_size,frequency,papi_l3_tcm,papi_tot_ins,papi_res_stl,papi_tot_cyc,papi_br_msp,weight,l3_cache_size
lu,geswp,16384,2048,2801000,180074188,737651947,14938513319,15275764304,57535,7,23068672
lu,getrfpiv,16384,2048,1200000,227388393,36155742660,3652342086,13315432437,1426980,8,23068672
lu,trsmswp,16384,2048,1200000,304585659,39142780766,8767339739,20665003050,4358586,28,23068672
lu,gemm,16384,2048,1200000,915838177,269413980546,13538050576,81615785912,2657467,140,23068672
lu,geswp,16384,2048,1200000,175143586,737651890,4588483080,4910904198,57562,7,23068672
lu,getrfpiv,20480,512,2801000,215812064,16540903835,5946264195,10464140111,1482092,40,23068672
lu,trsmswp,20480,512,2801000,353534409,32512171768,29262094184,40967988143,7593278,780,23068672
lu,gemm,20480,512,2801000,2151784566,633044474907,55477354641,216779717039,11832864,20540,23068672
lu,geswp,20480,512,2801000,113726990,1306354085,12338361181,12899349629,1968,39,23068672
lu,getrfpiv,20480,512,1200000,219887201,16540904649,3120149515,7623060822,2118909,40,23068672
lu,trsmswp,20480,512,1200000,355113817,32512175411,11808457534,23485198169,7479617,780,23068672
lu,gemm,20480,512,1200000,2229185583,633044492846,41774886404,203003655217,11389057,20540,23068672
lu,geswp,20480,512,1200000,114996287,1306354007,5711586007,6226466136,2315,39,23068672
lu,getrfpiv,20480,1024,2801000,238425109,29062910401,6780528747,15098695565,1460115,20,23068672
lu,trsmswp,20480,1024,2801000,358518345,43513177988,32137786953,46571102007,8116627,190,23068672
lu,gemm,20480,1024,2801000,1666081977,598714280289,42210779000,194245708440,34137868,2470,23068672
lu,geswp,20480,1024,2801000,184321167,1258656901,18528309037,19092088745,195001,19,23068672
lu,getrfpiv,20480,1024,1200000,240901140,29062912039,3806156277,11820486637,1455546,20,23068672
lu,trsmswp,20480,1024,1200000,362464795,43513180848,13056318301,27469218436,7535730,190,23068672
lu,gemm,20480,1024,1200000,1751582170,598714305722,32909537295,184810780567,34433817,2470,23068672
lu,geswp,20480,1024,1200000,186427349,1258656999,6792930870,7337167698,195026,19,23068672
lu,getrfpiv,20480,2048,2801000,357386469,55436724799,9427550627,24353625863,1935820,10,23068672
lu,trsmswp,20480,2048,2801000,487239124,62908036879,34172100857,53335761221,7000934,45,23068672
lu,gemm,20480,2048,2801000,1851391339,548449865223,34734609455,173615585629,5409948,285,23068672
lu,geswp,20480,2048,2801000,298934350,1185685325,24535434579,25082624989,92473,9,23068672
lu,getrfpiv,20480,2048,1200000,357389462,55436727417,5540724282,20276487397,1932282,10,23068672
lu,trsmswp,20480,2048,1200000,491133827,62908040187,14199771856,33275687378,6999737,45,23068672
lu,gemm,20480,2048,1200000,1856225479,548449885676,27491862185,166075859890,5449370,285,23068672
lu,geswp,20480,2048,1200000,291021989,1185685296,7487280969,8007540721,92417,9,23068672
lu,getrfpiv,24576,512,2801000,330533396,23652204578,8970258677,15427670892,2632727,48,23068672
lu,trsmswp,24576,512,2801000,520721207,47017482468,43035205956,59957692247,10591842,1128,23068672
lu,gemm,24576,512,2801000,3728565798,1100893329010,96477039990,376999268924,19857046,35720,23068672
lu,geswp,24576,512,2801000,190264224,1888417048,19694618251,20512976850,3061,47,23068672
lu,getrfpiv,24576,512,1200000,335417899,23652205776,4674142813,11092367463,2086696,48,23068672
lu,trsmswp,24576,512,1200000,525424449,47017486385,17209368364,34079229448,10621424,1128,23068672
lu,gemm,24576,512,1200000,3824076775,1100893362192,72579972100,352909992323,19851133,35720,23068672
lu,geswp,24576,512,1200000,190383038,1888417146,8489033752,9239370080,9811,47,23068672
lu,getrfpiv,24576,1024,2801000,371900142,41447912671,10098478210,21927112187,2071183,24,23068672
lu,trsmswp,24576,1024,2801000,533831150,63208506651,47118271774,68151690491,15106481,276,23068672
lu,gemm,24576,1024,2801000,2906958620,1048113583144,73796957564,339953607851,59956765,4324,23068672
lu,geswp,24576,1024,2801000,298248503,1827610963,28802375636,29626552601,283155,23,23068672
lu,getrfpiv,24576,1024,1200000,378402283,41447914853,5597445536,16994498185,1886852,24,23068672
lu,trsmswp,24576,1024,1200000,535213169,63208510745,19187934676,40047248028,11016115,276,23068672
lu,gemm,24576,1024,1200000,2967362805,1048113628008,57592372297,323503133962,59658084,4324,23068672
lu,geswp,24576,1024,1200000,299744346,1827610972,10175395869,10970410365,283082,23,23068672
lu,getrfpiv,24576,2048,2801000,541470037,78816583219,13755538316,34900696507,2512600,12,23068672
lu,trsmswp,24576,2048,2801000,709122035,92265031084,50133992940,78166260876,10398892,66,23068672
lu,gemm,24576,2048,2801000,3240682352,973739058540,61334929755,307911473097,9602487,506,23068672
lu,geswp,24576,2048,2801000,440324809,1738273816,36216706360,37024503675,135574,11,23068672
lu,getrfpiv,24576,2048,1200000,559625949,78816586883,8006437828,28906082144,2498423,12,23068672
lu,trsmswp,24576,2048,1200000,731152384,92265036060,20809836251,48860255716,10289389,66,23068672
lu,gemm,24576,2048,1200000,3275426183,973739099558,48832549414,294880671503,9636918,506,23068672
lu,geswp,24576,2048,1200000,443255057,1738273893,11193692721,11956812783,135586,11,23068672
lu,getrfpiv,28672,512,2801000,454998214,32024224721,11918760779,20654892036,3815856,56,23068672
lu,trsmswp,28672,512,2801000,728312933,64190641077,59096860144,82201320867,14761846,1540,23068672
lu,gemm,28672,512,2801000,5852353121,1756128205191,153981792715,601422022954,31650236,56980,23068672
lu,geswp,28672,512,2801000,285710710,2578973369,28421364760,29545910948,3860,55,23068672
lu,getrfpiv,28672,512,1200000,462906087,32024226362,6218618771,14888016698,2682492,56,23068672
lu,trsmswp,28672,512,1200000,733220557,64190648663,23716361735,46795559840,14595453,1540,23068672
lu,gemm,28672,512,1200000,6069050753,1756128330809,116062076765,563224423377,31535891,56980,23068672
lu,geswp,28672,512,1200000,286253838,2578974344,11852524615,12884573120,5759,55,23068672
lu,getrfpiv,28672,1024,2801000,493699217,56016777254,13517958100,29470268876,2578679,28,23068672
lu,trsmswp,28672,1024,2801000,739085327,86568268278,65149909152,93988907769,21891200,378,23068672
lu,gemm,28672,1024,2801000,4604045227,1679793508481,117820587245,544320782988,96066015,6930,23068672
lu,geswp,28672,1024,2801000,434925905,2503834417,41261120564,42396349321,387774,27,23068672
lu,getrfpiv,28672,1024,1200000,498427515,56016779289,7409384705,22777413197,2404640,28,23068672
lu,trsmswp,28672,1024,1200000,742350456,86568276475,26254946896,54918621916,14969597,378,23068672
lu,gemm,28672,1024,1200000,4880774440,1679793579989,92238392983,518445343570,96564407,6930,23068672
lu,geswp,28672,1024,1200000,438954483,2503834564,14286424606,15379863220,387725,27,23068672
lu,getrfpiv,28672,2048,2801000,709907729,106287080594,18200612718,46684011867,3199205,14,23068672
lu,trsmswp,28672,2048,2801000,995972382,127213991215,69415701434,108176211632,14377128,91,23068672
lu,gemm,28672,2048,2801000,5205476048,1576071709555,99516869191,498715954439,15492239,819,23068672
lu,geswp,28672,2048,2801000,619153894,2397488549,50839449722,51958237769,186807,13,23068672
lu,getrfpiv,28672,2048,1200000,715258104,106287085389,10525539629,38624329731,3164903,14,23068672
lu,trsmswp,28672,2048,1200000,1014121203,127213999081,28847199968,67521115160,14360109,91,23068672
lu,gemm,28672,2048,1200000,5254016776,1576071783872,78891724693,477115028846,15682301,819,23068672
lu,geswp,28672,2048,1200000,630172866,2397488921,15698813548,16752227504,186863,13,23068672
