,algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time,l3_cache_size,number_of_tasks,frequency,PAPI_VEC_DP,PAPI_L2_TCR,PAPI_L3_TCR,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCW,PAPI_L3_TCW,PAPI_TOT_INS,PAPI_L3_TCM,ilp,cpi,cmr,vr,scr,edp,energy,normalized_energy,normalized_time,matrix_size_normalized,tile_size_normalized,number_of_tasks_normalized,case_normalized,frequency_normalized
0,invert,8192,256,1,76644294.66666667,63654561.0,7547582.0,4102011.3333333335,0.43903333333333333,37486592.0,11472,4000000.0,1.0011504086360155,0.015218265352159978,0.013610262035473396,14601139872.673174,0.12933454794154564,0.00033181148723422215,5.2978228603910055e-06,38087444210.88703,0.007386315986130355,2.5659796610156205,0.39171249215684734,0.538055774774087,1.0011504086360155,0.3278320075891974,1.0,151.94844900000004,1.0,1.0,0.3333333333333333,0.125,0.038286965344155495,0.0625,0.9999999999999999
1,invert,8192,256,2,78712079.0,64996537.666666664,7663729.0,4295980.0,0.45576666666666665,37486592.0,11472,3991631.79916318,1.0011504088279697,0.015218466550376755,0.013610313935884648,14601098394.020454,0.129119360055585,0.0003318115782432041,5.297818757275834e-06,38087444210.769875,0.007387143726762224,2.5669316914788105,0.39149795491731876,0.5381060466470596,1.0011504088279697,0.32756262664353,1.0635282905161512,155.66832566666665,1.0244811756299441,1.0381140384177359,0.3333333333333333,0.125,0.038286965344155495,0.125,0.9979079497907949
2,invert,8192,256,3,61461573.666666664,48924923.666666664,8370196.666666667,4656392.0,0.5213666666666666,37486592.0,11472,1276150.6276150628,1.0011486171391841,0.015342024421609687,0.014075696546382577,13596174279.964666,0.10507945679260004,0.0003339739034295049,4.1253229125062684e-06,38087514079.74198,0.007617225569977322,2.7451687219426013,0.3674127701561648,0.536466613783653,1.0011486171391841,0.2813169883588458,0.9645188219532598,123.413086,0.8122036573074858,1.1875332169159516,0.3333333333333333,0.125,0.038286965344155495,0.1875,0.3190376569037657
3,invert,8192,256,4,61229844.0,48854611.666666664,8322863.333333333,4662904.333333333,0.5248,37486592.0,11472,1267782.4267782427,1.0011486173311384,0.015342225619826462,0.014075748446793828,13596132801.311947,0.10486426890663939,0.00033397399443848685,4.125318809391097e-06,38087514079.624825,0.007618053310609191,2.7461207524057905,0.3671982329166362,0.5365168856566256,1.0011486173311384,0.28104760741317836,0.9681731818431978,123.07022333333332,0.8099472165940521,1.1953534279857263,0.3333333333333333,0.125,0.038286965344155495,0.25,0.3169456066945606
4,invert,8192,256,5,76389148.0,61527267.666666664,7744869.666666667,4374177.666666667,0.4721666666666667,37486592.0,11472,3740585.7740585776,1.0011503895800717,0.01522469989053602,0.013629051849398006,14591611463.721989,0.12779032841878685,0.00033190561762208164,5.2720638421142146e-06,38087444490.47792,0.007391273746014769,2.572720157519101,0.39017216178370306,0.537476159630758,1.0011503895800717,0.32591794127162776,1.061928998745947,150.03546299999996,0.9874102959747877,1.07546883304229,0.3333333333333333,0.125,0.038286965344155495,0.3125,0.9351464435146443
5,invert,8192,256,6,78814007.33333333,63611104.333333336,7921019.0,4518222.666666667,0.4906,37486592.0,11472,3732217.5732217575,1.001150389772026,0.015224901088752796,0.013629103749809258,14591569985.06927,0.1275751405328262,0.0003319057086310635,5.272059738999043e-06,38087444490.36076,0.007392101486646638,2.573672187982291,0.3899576245441745,0.5375264315037307,1.001150389772026,0.32564856032596035,1.138899076534213,154.86435333333333,1.0191900894844494,1.117455014805254,0.3333333333333333,0.125,0.038286965344155495,0.375,0.9330543933054393
6,invert,8192,256,7,60265430.0,48166909.666666664,8517494.666666666,4812650.666666667,0.5447666666666667,37486592.0,11472,1016736.4016736401,1.0011485980832404,0.015348458959985729,0.014094486360307187,13586645871.013481,0.10353523726984126,0.0003340680338173644,4.0995638942294775e-06,38087514359.33287,0.007622183329861736,2.7519092184460816,0.36587243978302053,0.5358869986403241,1.0011485980832404,0.27940292204127615,0.9943293581261406,121.762485,0.8013407560349627,1.2408321311973276,0.3333333333333333,0.125,0.038286965344155495,0.4375,0.25418410041841
7,invert,8192,256,8,60725084.666666664,47796040.666666664,8555846.666666666,4748303.666666667,0.5501666666666667,37486592.0,11472,1008368.2008368201,1.0011485982751946,0.015348660158202503,0.014094538260718438,13586604392.360762,0.1033200493838806,0.0003340681248263463,4.099559791114306e-06,38087514359.21571,0.007623011070493605,2.752861248909271,0.36565790254349195,0.5359372705132966,1.0011485982751946,0.27913354109560873,1.0047034886581439,121.82527566666667,0.8017539926759413,1.2531318806468759,0.3333333333333333,0.125,0.038286965344155495,0.5,0.252092050209205
8,invert,8192,256,9,75446198.0,62292422.666666664,7440038.333333333,4084722.6666666665,0.4324333333333333,37486592.0,11472,3991631.79916318,1.0011504052617197,0.01521809122053603,0.01361051291753851,14601101725.936773,0.12921789278266466,0.00033181153421154354,5.297824631659123e-06,38087444214.063225,0.007386350518653502,2.566459210793796,0.39159538849576925,0.5380488930311816,1.0011504052617197,0.32769260529035,0.9675617103817041,149.26338166666665,0.9823290902210302,0.9849669728949965,0.3333333333333333,0.125,0.038286965344155495,0.5625,0.9979079497907949
9,invert,8192,256,10,77318202.33333333,64875424.0,7521439.333333333,4355986.0,0.4543333333333333,37486592.0,11472,3983263.59832636,1.001150405453674,0.015218292418752805,0.013610564817949762,14601060247.284052,0.129002704896704,0.00033181162522052547,5.297820528543952e-06,38087444213.946075,0.00738717825928537,2.5674112412569854,0.39138085125624067,0.5380991649041543,1.001150405453674,0.3274232243446826,1.0493053367283602,154.07105166666665,1.0139692289104354,1.0348492901070534,0.3333333333333333,0.125,0.038286965344155495,0.625,0.9958158995815899
