algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,PAPI_L3_TCM,PAPI_TOT_INS,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_TCR,PAPI_L3_TCW
lu,geswp,12288,2048,23068672,2801000,5,94562159,94065300,394892067,6983685784,7166478234,93008963,394892008,94519952,394892115
lu,getrfpiv,16384,512,23068672,1200000,32,147810216,152065188,10543060022,2236020037,5121798206,150480464,10543059772,149612346,10543059309
lu,gemm,16384,512,23068672,1200000,10416,1123010711,1113468632,321029171769,23352018925,105472276678,1120168218,321029016770,1111147534,321029019117
lu,trsmswp,16384,512,23068672,1200000,496,221161295,221383138,20691261429,7809197457,13620033889,221796629,20691248609,222405249,20691269090
lu,geswp,16384,512,23068672,1200000,31,63033373,63040259,831105213,3554134986,3877128986,62778838,831105055,63347558,831104948
lu,getrfpiv,16384,512,23068672,2801000,32,145806658,150532000,10543059173,3575009430,6457817145,148101537,10543059017,147992754,10543056462
lu,gemm,16384,512,23068672,2801000,10416,1085243410,1099689746,321028945648,26571710037,108696708503,1085181349,321029029723,1087500087,321028840533
lu,trsmswp,16384,512,23068672,2801000,496,219263677,220620192,20691256418,16625179231,22460095619,219661667,20691254961,219396782,20691241092
lu,geswp,16384,512,23068672,2801000,31,63060869,62956721,831104950,6629328014,6984972279,62993972,831104625,63017958,831103437
lu,getrfpiv,16384,1024,23068672,1200000,16,199635328,207884164,18937895242,2844039580,7856926270,203729127,18937894406,202507999,18937895307
lu,gemm,16384,1024,23068672,1200000,1240,852583776,859263126,300572347645,17245540364,93692090300,876595802,300572243058,844131835,300572331848
lu,trsmswp,16384,1024,23068672,1200000,120,226028701,226604586,27495060435,8547184466,16071752563,229318929,27495065106,226085158,27495059376
lu,geswp,16384,1024,23068672,1200000,15,107963494,108827873,795079905,4204854944,4546584165,108001116,795079631,108610725,795079437
lu,getrfpiv,16384,1024,23068672,2801000,16,196154846,201384079,18937894551,4299102633,9309403630,200035711,18937894377,198171953,18937894407
lu,gemm,16384,1024,23068672,2801000,1240,831742104,841803013,300572328800,19430086581,95894112984,833008384,300572312474,825782042,300572320182
lu,trsmswp,16384,1024,23068672,2801000,120,224190010,227430047,27495056592,18576093404,26112206670,224157203,27495053172,223456314,27495062749
lu,geswp,16384,1024,23068672,2801000,15,106765204,106249387,795079565,9948142887,10302042361,106855998,795079244,107571320,795079429
lu,getrfpiv,16384,2048,23068672,1200000,8,255475724,263140953,35993190709,4007986623,13483328677,253984953,35993190604,256347006,35993191125
lu,gemm,16384,2048,23068672,1200000,140,906087182,898857168,269416077811,14527540316,82728458327,913086913,269416073982,927492339,269416075787
lu,trsmswp,16384,2048,23068672,1200000,28,303767584,304503496,39153381486,9191617015,19630075956,301967987,39153382343,305507295,39153381647
lu,geswp,16384,2048,23068672,1200000,7,180010211,178942991,737767809,4612360183,4936408784,178286109,737767671,179488858,737767550
lu,getrfpiv,16384,2048,23068672,2801000,8,248921615,256827719,35993188855,5670569901,15237192085,250097566,35993189403,250087023,35993189324
lu,gemm,16384,2048,23068672,2801000,140,903515312,907159492,269416065899,16212627721,84474205581,915074564,269416061238,902191104,269416064650
lu,trsmswp,16384,2048,23068672,2801000,28,298165746,299293635,39153380132,19398443914,29860767595,301239095,39153380261,302426456,39153380249
lu,geswp,16384,2048,23068672,2801000,7,180696877,179479652,737767727,13326493904,13670782995,179976211,737767695,181622778,737767717
lu,getrfpiv,20480,512,23068672,1200000,40,220878541,221217032,16300205233,3264692256,7721364439,221295743,16300204366,220419528,16300204952
lu,gemm,20480,512,23068672,1200000,20540,2187082070,2194763770,633058604770,46040437234,207953064146,2194362595,633058388954,2200460983,633058405102
lu,trsmswp,20480,512,23068672,1200000,780,356354286,358675593,32538677539,12347958201,21446658458,355970628,32538688757,353727256,32538682671
lu,geswp,20480,512,23068672,1200000,39,116454217,116731764,1307156879,5746325643,6258438786,115714489,1307156562,115657528,1307156156
lu,getrfpiv,20480,512,23068672,2801000,40,219046072,218578106,16300204387,5305848647,9757317219,217989058,16300204069,218829039,16300204087
lu,gemm,20480,512,23068672,2801000,20540,2145996095,2147387940,633058446670,52316477859,214256180428,2132652826,633058239930,2139143165,633058381094
lu,trsmswp,20480,512,23068672,2801000,780,356102281,354976752,32538687122,26489174735,35634465704,353537494,32538673804,354115018,32538693328
lu,geswp,20480,512,23068672,2801000,39,117040951,114371808,1307156788,11330284479,11885782662,116756879,1307156328,116085664,1307154603
lu,getrfpiv,20480,1024,23068672,1200000,20,286665242,288556215,29169673329,4138271137,11848714026,287961847,29169673037,286819447,29169672896
lu,gemm,20480,1024,23068672,1200000,2470,1695676405,1745609037,598720602859,34373735847,186655156038,1681897458,598720692739,1712805761,598720618033
lu,trsmswp,20480,1024,23068672,1200000,190,363297288,363709503,43533851980,13603880018,25533777312,367798281,43533848810,366067996,43533852333
lu,geswp,20480,1024,23068672,1200000,19,187803913,188337232,1259048465,6822913644,7367011847,192772239,1259048292,187446873,1259047849
lu,getrfpiv,20480,1024,23068672,2801000,20,284158727,285027989,29169671510,6348404131,14052844333,284333027,29169671455,283618337,29169671538
lu,gemm,20480,1024,23068672,2801000,2470,1633516984,1654330534,598720698461,38600520980,190913617158,1636604428,598720666285,1643309443,598720632776
lu,trsmswp,20480,1024,23068672,2801000,190,366491691,366920688,43533846400,29643171155,41589886072,366516542,43533846939,362189876,43533846849
lu,geswp,20480,1024,23068672,2801000,19,191754901,190086044,1259048180,17031300429,17596289610,190181744,1259047980,186631187,1259047964
lu,getrfpiv,20480,2048,23068672,1200000,10,351188857,349422271,55192497654,5786753622,20297690219,351609117,55192497323,350308682,55192497285
lu,gemm,20480,2048,23068672,1200000,285,1830636337,1857869919,548454156664,29491139436,168331880955,1810037970,548454153884,1838105799,548454138349
lu,trsmswp,20480,2048,23068672,1200000,45,498715860,501793580,62925078286,14745073959,31524040624,493055762,62925078272,492715690,62925077921
lu,geswp,20480,2048,23068672,1200000,9,298749817,298777880,1185871115,7554480570,8075364942,297654210,1185870903,296111391,1185870270
lu,getrfpiv,20480,2048,23068672,2801000,10,348796151,347712877,55192495189,8273931584,22922318620,346811676,55192495083,347598677,55192494903
lu,gemm,20480,2048,23068672,2801000,285,1818855754,1807506450,548454134645,32953940997,171909129137,1826437010,548454123990,1817192678,548454130613
lu,trsmswp,20480,2048,23068672,2801000,45,487619339,485311000,62925074572,31382235082,48183013306,483898041,62925074911,485185218,62925073812
lu,geswp,20480,2048,23068672,2801000,9,296349208,296864659,1185870974,21874883571,22429878568,295364823,1185870871,294754887,1185870583
lu,getrfpiv,24576,512,23068672,1200000,48,341269974,343637052,23308015162,4946803178,11324047941,342134029,23308014515,342540631,23308014779
lu,gemm,24576,512,23068672,1200000,35720,3800732565,3817327320,1100917998001,80121692218,361730225798,3859570508,1100917442273,3828491058,1100917577416
lu,trsmswp,24576,512,23068672,1200000,1128,529078432,527219877,47055808616,18003009995,31184712512,527537348,47055819183,529685060,47055801119
lu,geswp,24576,512,23068672,1200000,47,193538551,191657389,1889576925,8531565056,9278353069,192633730,1889576252,191501001,1889576557
lu,getrfpiv,24576,512,23068672,2801000,48,339490330,338717335,23308013874,8012932084,14374963625,336083641,23308013614,337857630,23308013251
lu,gemm,24576,512,23068672,2801000,35720,3739620689,3733371760,1100917750152,90900039346,372531716637,3723398264,1100917450795,3740979942,1100917424129
lu,trsmswp,24576,512,23068672,2801000,1128,523799137,522768509,47055809016,38652301242,51900747053,523967229,47055801349,526077491,47055790130
lu,geswp,24576,512,23068672,2801000,47,191557948,190994699,1889576093,17852040517,18662580988,191120128,1889575657,192003484,1889575431
lu,getrfpiv,24576,1024,23068672,1200000,24,458018631,459579896,41602465567,6142344638,17139637085,456825811,41602464851,456271672,41602465360
lu,gemm,24576,1024,23068672,1200000,4324,2970614806,2996395717,1048124857555,60094430592,326664784514,2999859506,1048124800007,2875942220,1048124811986
lu,trsmswp,24576,1024,23068672,1200000,276,542117425,541233427,63238546272,19906840154,37238237834,542725515,63238535340,542372579,63238537706
lu,geswp,24576,1024,23068672,1200000,23,306349119,305323911,1828179276,10290309172,11085993461,306365083,1828178916,303076237,1828178675
lu,getrfpiv,24576,1024,23068672,2801000,24,448256573,450698373,41602463517,9414676951,20411504198,447773177,41602463095,447526430,41602463466
lu,gemm,24576,1024,23068672,2801000,4324,2818625942,2804877980,1048124815496,67624039404,334237329197,2881488001,1048124762534,2820744660,1048124764498
lu,trsmswp,24576,1024,23068672,2801000,276,538706223,538895335,63238540574,43291407746,60669215844,539717382,63238539394,536845456,63238528122
lu,geswp,24576,1024,23068672,2801000,23,302379253,301627660,1828178369,26247194750,27071233317,304036621,1828178393,301516242,1828178433
lu,getrfpiv,24576,2048,23068672,1200000,12,584279290,588332373,78474286968,8466063756,29095826793,580126559,78474286660,582574742,78474286084
lu,gemm,24576,2048,23068672,1200000,506,3234687506,3257635465,973746667165,52441527924,298928722417,3225724940,973746673015,3212854390,973746672797
lu,trsmswp,24576,2048,23068672,1200000,66,733271589,735444917,92290024157,21749057393,46333845535,733852382,92290025582,732929689,92290023244
lu,geswp,24576,2048,23068672,1200000,11,453673089,456298537,1738545844,11300403103,12064702221,453937323,1738545728,452156564,1738545595
lu,getrfpiv,24576,2048,23068672,2801000,12,570172303,570985855,78474282840,12094940019,32922113962,570359908,78474282984,566574735,78474282592
lu,gemm,24576,2048,23068672,2801000,506,3203354609,3241881317,973746637474,58261873917,304940697345,3224235379,973746632091,3230546901,973746629774
