algorithm,task,matrix_size,tile_size,l3_cache_size,frequency,weight,PAPI_VEC_DP,
lu,getrfpiv,24576,1024,23068672,2801000,24,448256573,
lu,gemm,24576,1024,23068672,2801000,4324,2818625942,
lu,trsmswp,24576,1024,23068672,2801000,276,538706223,
lu,geswp,24576,1024,23068672,2801000,23,302379253,
lu,getrfpiv,24576,2048,23068672,1200000,12,584279290,
lu,gemm,24576,2048,23068672,1200000,506,3234687506,
lu,trsmswp,24576,2048,23068672,1200000,66,733271589,
lu,geswp,24576,2048,23068672,1200000,11,453673089,
lu,getrfpiv,24576,2048,23068672,2801000,12,570172303,
lu,gemm,24576,2048,23068672,2801000,506,3203354609,
lu,trsmswp,24576,2048,23068672,2801000,66,713736885,
lu,geswp,24576,2048,23068672,2801000,11,445639218,
lu,getrfpiv,28672,512,23068672,1200000,56,464742013,
lu,gemm,28672,512,23068672,1200000,56980,6085393845,
lu,trsmswp,28672,512,23068672,1200000,1540,731442126,
lu,geswp,28672,512,23068672,1200000,55,289290120,
lu,getrfpiv,28672,512,23068672,2801000,56,460472501,
lu,gemm,28672,512,23068672,2801000,56980,5925642994,
lu,trsmswp,28672,512,23068672,2801000,1540,728552040,
lu,geswp,28672,512,23068672,2801000,55,286939714,
lu,getrfpiv,28672,1024,23068672,1200000,28,587122928,
lu,gemm,28672,1024,23068672,1200000,6930,4691381539,
lu,trsmswp,28672,1024,23068672,1200000,378,754036808,
lu,geswp,28672,1024,23068672,1200000,27,448442342,
lu,getrfpiv,28672,1024,23068672,2801000,28,581323175,
lu,gemm,28672,1024,23068672,2801000,6930,4701431462,
lu,trsmswp,28672,1024,23068672,2801000,378,741378349,
lu,geswp,28672,1024,23068672,2801000,27,441226506,
lu,getrfpiv,28672,2048,23068672,1200000,14,703514046,
lu,gemm,28672,2048,23068672,1200000,819,5265556192,
lu,trsmswp,28672,2048,23068672,1200000,91,1013036821,
lu,geswp,28672,2048,23068672,1200000,13,638945768,
lu,getrfpiv,28672,2048,23068672,2801000,14,697190701,
lu,gemm,28672,2048,23068672,2801000,819,5226563786,
lu,trsmswp,28672,2048,23068672,2801000,91,994689547,
lu,geswp,28672,2048,23068672,2801000,13,631851283,
