algorithm,task,matrix_size,tile_size,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,case,PKG1,PKG2,DRAM1,DRAM2,time
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,1,4935048524,4447827237,808860143,352080402,38.1831
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,2,5120469741,4651961968,829382231,357136700,39.2562
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,3,4582356799,4187221336,725243715,335939622,34.7745
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,4,5014300335,4638156583,812610571,362966704,38.2683
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,5,5134835365,4678160692,832402650,350944362,39.116
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,6,4784048239,4435820431,770662071,352401182,36.2932
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,7,5235265101,4710394618,832007619,374050621,39.5631
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,8,4663418542,4720069398,486944853,633093238,36.6009
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,9,5191496476,4744328491,838580867,352416267,39.6528
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,10,5248931082,4650287045,835237327,353758276,39.5165
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,11,5039131326,4574205636,806753103,364689209,38.1913
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,12,5246297299,4692753855,813057789,372043108,39.267
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,13,5275921552,4696807801,839541064,357160752,39.6474
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,14,4848103433,4524171219,770669936,353647000,36.977
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,15,4955095774,4553879516,802088868,367327342,38.1346
qr,tsmqr,16384,1024,0.251615,0.002139,0.006774,2.931258,70.980018,16,4880310748,4452366227,781563520,350409245,36.9559
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,1,16312973498,15155942707,2533528759,912289336,122.953
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,2,16433841963,15027153730,2516576039,910337821,121.836
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,3,16707669509,15409094891,2553840994,932107886,124.196
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,4,15890347809,14626006197,2438852467,897767051,117.977
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,5,17314287462,15892659204,2636392434,962650219,128.404
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,6,17044894292,15433102886,2600158132,980795468,125.706
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,7,16626044351,15322061056,2548026887,946392057,123.77
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,8,15965450340,14615402282,2464507063,893902362,118.654
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,9,16660585401,15216635972,2574687656,950764139,123.754
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,10,17757444104,16237032713,2707906425,993515812,131.594
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,11,16458225506,15004204875,2533076813,915871372,121.924
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,12,16477439568,14890405850,2511870706,924008234,121.395
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,13,16444921463,15123641826,2502135195,925933417,121.887
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,14,16540363602,14939140101,2539610310,897238221,121.772
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,15,17491806478,15979954574,2661098461,995924951,129.293
qr,geqrt,16384,2048,0.80682,0.052439,0.00415,0.323588,75.977247,16,16295776093,14880097160,2493997736,912957181,120.589
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,1,16312973498,15155942707,2533528759,912289336,122.953
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,2,16433841963,15027153730,2516576039,910337821,121.836
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,3,16707669509,15409094891,2553840994,932107886,124.196
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,4,15890347809,14626006197,2438852467,897767051,117.977
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,5,17314287462,15892659204,2636392434,962650219,128.404
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,6,17044894292,15433102886,2600158132,980795468,125.706
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,7,16626044351,15322061056,2548026887,946392057,123.77
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,8,15965450340,14615402282,2464507063,893902362,118.654
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,9,16660585401,15216635972,2574687656,950764139,123.754
qr,ormqr,16384,2048,0.576453,0.005717,0.003421,1.656155,20.411104,10,17757444104,16237032713,2707906425,993515812,131.594
