algorithm,task,matrix_size,tile_size,frequency,mem_boundness,arithm_intensity,bmr,ilp,l3_cache_ratio,weight
cholesky,potrf,16384,512,2801000,0.234070,0.003291,0.002616,2.122378,0.076821,32
cholesky,trsm,16384,512,2801000,0.290056,0.001492,0.002175,2.005571,1.288688,496
cholesky,syrk,16384,512,2801000,0.328485,0.006216,0.005367,2.587276,2.363127,496
cholesky,gemm,16384,512,2801000,0.232486,0.003472,0.002353,3.005063,23.382210,4960
cholesky,potrf,16384,512,1200000,0.178752,0.003453,0.002596,2.280206,0.080597,32
cholesky,trsm,16384,512,1200000,0.264564,0.001487,0.002166,2.067060,1.284943,496
cholesky,syrk,16384,512,1200000,0.236686,0.006253,0.005440,2.941706,2.376908,496
cholesky,gemm,16384,512,1200000,0.187899,0.003483,0.002382,3.180252,23.456522,4960
cholesky,potrf,16384,1024,2801000,0.254142,0.002666,0.002256,2.214735,0.171069,16
cholesky,trsm,16384,1024,2801000,0.272884,0.001451,0.002145,2.220139,1.684576,120
cholesky,syrk,16384,1024,2801000,0.258878,0.003880,0.007327,2.897704,2.631896,120
cholesky,gemm,16384,1024,2801000,0.198905,0.002779,0.007643,3.155352,16.488846,560
cholesky,potrf,16384,1024,1200000,0.215988,0.002735,0.002191,2.331127,0.175496,16
cholesky,trsm,16384,1024,1200000,0.255770,0.001501,0.002115,2.272250,1.742657,120
cholesky,syrk,16384,1024,1200000,0.190643,0.003902,0.007325,3.165477,2.646286,120
cholesky,gemm,16384,1024,1200000,0.162979,0.002837,0.007646,3.297548,16.832565,560
cholesky,potrf,16384,2048,2801000,0.278680,0.002168,0.002015,2.311810,0.413664,8
cholesky,trsm,16384,2048,2801000,0.253311,0.002315,0.002024,2.477267,3.865020,28
cholesky,syrk,16384,2048,2801000,0.223881,0.003375,0.003006,3.057325,4.095396,28
cholesky,gemm,16384,2048,2801000,0.182415,0.003300,0.001488,3.233722,15.478297,56
cholesky,potrf,16384,2048,1200000,0.248217,0.002195,0.002298,2.412848,0.418867,8
cholesky,trsm,16384,2048,1200000,0.229841,0.002333,0.002160,2.554464,3.894995,28
cholesky,syrk,16384,2048,1200000,0.167686,0.003425,0.003314,3.284599,4.155140,28
cholesky,gemm,16384,2048,1200000,0.149062,0.003309,0.001945,3.371668,15.521808,56
cholesky,potrf,24576,512,2801000,0.238415,0.003388,0.002674,2.111182,0.118612,48
cholesky,trsm,24576,512,2801000,0.285521,0.001460,0.002197,2.010992,2.869318,1128
cholesky,syrk,24576,512,2801000,0.328137,0.006256,0.005323,2.586953,5.408751,1128
cholesky,gemm,24576,512,2801000,0.233567,0.003529,0.002276,3.000711,82.862391,17296
cholesky,potrf,24576,512,1200000,0.180040,0.003501,0.002668,2.278191,0.122578,48
cholesky,trsm,24576,512,1200000,0.264641,0.001464,0.002171,2.066917,2.877593,1128
cholesky,syrk,24576,512,1200000,0.237170,0.006327,0.005361,2.939386,5.469874,1128
cholesky,gemm,24576,512,1200000,0.188222,0.003566,0.002355,3.178946,83.723420,17296
cholesky,potrf,24576,1024,2801000,0.254312,0.002553,0.002182,2.216999,0.245678,24
cholesky,trsm,24576,1024,2801000,0.273677,0.001551,0.002111,2.217647,4.141755,276
cholesky,syrk,24576,1024,2801000,0.258135,0.003792,0.007352,2.900427,5.915275,276
cholesky,gemm,24576,1024,2801000,0.198302,0.002842,0.007755,3.157414,60.941536,2024
cholesky,potrf,24576,1024,1200000,0.215987,0.002824,0.002199,2.331560,0.271851,24
cholesky,trsm,24576,1024,1200000,0.258641,0.001522,0.002116,2.269052,4.065743,276
cholesky,syrk,24576,1024,1200000,0.190601,0.004005,0.007364,3.165555,6.246947,276
cholesky,gemm,24576,1024,1200000,0.162934,0.002886,0.007732,3.297680,61.883388,2024
