,algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time,l3_cache_size,number_of_tasks,frequency,PAPI_VEC_DP,PAPI_L2_TCR,PAPI_L3_TCR,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCW,PAPI_L3_TCW,PAPI_TOT_INS,PAPI_L3_TCM,ilp,cpi,cmr,vr,scr,edp,energy,normalized_energy,normalized_time,matrix_size_normalized,tile_size_normalized,number_of_tasks_normalized,case_normalized,frequency_normalized
0,cholesky,8192,256,1,23970133.333333332,20167998.333333332,2391410.3333333335,1340422.6666666667,0.14673333333333335,37486592.0,5984,4000000.0,0.9646660037739458,0.010019106095590754,0.010294713906298656,5857224606.389483,0.08469084963198723,0.00023246895007182365,8.165442158829287e-07,17258845927.558823,0.002775982937019001,2.8896183083522415,0.34754872088149635,0.27314593944186283,0.9646660037739458,0.24101422451756116,1.0,47.86996466666666,1.0,1.0,0.3333333333333333,0.125,0.03934357248053861,0.0625,0.9999999999999999
1,cholesky,8192,256,2,23701233.333333332,20102751.666666668,2422097.0,1339596.6666666667,0.1486333333333333,37486592.0,5984,3983957.2192513365,0.964665980075556,0.010017807093035128,0.010294563891355557,5857219838.933155,0.08463571334662917,0.00023246898279751576,8.16543399264169e-07,17258845934.751335,0.0027758196206608948,2.8900602702137697,0.3475061648665051,0.2731245535096687,0.964665980075556,0.240852739140766,1.006509839491853,47.56567866666666,0.993643488101175,1.012948659700136,0.3333333333333333,0.125,0.03934357248053861,0.125,0.995989304812834
2,cholesky,8192,256,3,22347802.333333332,18492404.333333332,3097260.3333333335,1753165.6666666667,0.2134,37486592.0,5984,1513368.9839572192,0.9646656475667972,0.010311163048197163,0.010315063229359593,5721590648.991979,0.07808001874687384,0.00023434026623953862,6.277250777739647e-07,17258852961.40909,0.0027943260568641763,2.9496526100720306,0.34086969500416586,0.27433926892371374,0.9646656475667972,0.22552599347785163,1.3881285812306567,45.690632666666666,0.9544739166787493,1.4543389368468875,0.3333333333333333,0.125,0.03934357248053861,0.1875,0.37834224598930477
3,cholesky,8192,256,4,22135889.0,18323704.0,3072500.0,1740793.3333333333,0.212,37486592.0,5984,1497326.2032085562,0.9646656238684075,0.010309864045641538,0.010314913214416493,5721585881.53565,0.07802488246151582,0.00023434029896523073,6.277242611552049e-07,17258852968.601604,0.00279416274050607,2.9500945719335587,0.3408271389891746,0.2743178829915196,0.9646656238684075,0.22536450810105646,1.3664135308547427,45.27288633333334,0.9457472268588962,1.4447978191731028,0.3333333333333333,0.125,0.03934357248053861,0.25,0.374331550802139
4,cholesky,8192,256,5,23457215.333333332,19459402.333333332,2579727.6666666665,1436114.0,0.1634,37486592.0,5984,3751336.898395722,0.9646659676818847,0.010037379401469985,0.010300965564602884,5855270343.484848,0.08380489953254684,0.00023245784794781826,8.134686102435259e-07,17258846290.385918,0.002775394583187847,2.8925068561260163,0.3470459258593863,0.27259724920602735,0.9646659676818847,0.2392996682456271,1.0917758267953133,46.93245933333333,0.9804155833441393,1.1135847342117218,0.3333333333333333,0.125,0.03934357248053861,0.3125,0.9378342245989303
5,cholesky,8192,256,6,23289572.666666668,18942761.666666668,2561561.6666666665,1397145.3333333333,0.15933333333333333,37486592.0,5984,3735294.117647059,0.964665943983495,0.010036080398914363,0.010300815549659784,5855265576.028521,0.0837497632471888,0.00023245788067351034,8.134677936247661e-07,17258846297.57843,0.002775231266829741,2.8929488179875444,0.34700336984439506,0.2725758632738332,0.964665943983495,0.23913818286883193,1.047785790737869,46.19104133333334,0.9649274164912345,1.0858700590640615,0.3333333333333333,0.125,0.03934357248053861,0.375,0.9338235294117646
6,cholesky,8192,256,7,22573204.666666668,18455092.0,3271696.0,1880793.3333333333,0.2321,37486592.0,5984,1264705.8823529412,0.9646656114747362,0.010329436354076394,0.01032131488766382,5719636386.087343,0.07719406864743347,0.00023432916411553323,6.246494721345618e-07,17258853324.236183,0.002793737703033022,2.9525411578458054,0.3403668999820558,0.2737905786878783,0.9646656114747362,0.2238114372059175,1.5259649921860994,46.180786000000005,0.9647131833409753,1.5817810086324395,0.3333333333333333,0.125,0.03934357248053861,0.4375,0.3161764705882353
7,cholesky,8192,256,8,22592715.666666668,18772534.666666668,3301760.3333333335,1941003.3333333333,0.23753333333333335,37486592.0,5984,1248663.101604278,0.9646655877763465,0.010328137351520772,0.010321164872720721,5719631618.631016,0.07713893236207543,0.0002343291968412253,6.246486555158021e-07,17258853331.428696,0.002793574386674916,2.9529831197073335,0.34032434396706457,0.2737691927556842,0.9646655877763465,0.22364995182912234,1.5761344825777788,46.608014000000004,0.9736379444719876,1.618809631985461,0.3333333333333333,0.125,0.03934357248053861,0.5,0.31216577540106943
8,cholesky,8192,256,9,23539796.0,19828277.666666668,2504478.0,1395257.6666666667,0.15680000000000002,37486592.0,5984,3751336.898395722,0.9646658135574755,0.010030178693793221,0.010293939734615799,5854535130.769162,0.0825413611419114,0.0002324944538420331,8.157494325337293e-07,17258846179.040104,0.0027717641726202895,2.9059607334037763,0.34539252672003407,0.27273978266568094,0.9646658135574755,0.23668639533269467,1.0551632161676368,47.26780933333334,0.9874210198915684,1.06860517946388,0.3333333333333333,0.125,0.03934357248053861,0.5625,0.9378342245989303
9,cholesky,8192,256,10,23350363.0,19202831.666666668,2453197.0,1326765.0,0.14996666666666666,37486592.0,5984,3735294.117647059,0.9646657898590857,0.010028879691237598,0.010293789719672701,5854530363.312834,0.08248622485655337,0.00023249448656772518,8.157486159149695e-07,17258846186.23262,0.002771600856262183,2.9064026952653044,0.3453499707050428,0.2727183967334868,0.9646657898590857,0.2365249099558995,0.9892242122535856,46.333156666666675,0.9678961952301144,1.022035438437074,0.3333333333333333,0.125,0.03934357248053861,0.625,0.9338235294117646
