algorithm, task, matrix_size, tile_size, mem_boundness, arithm_intensity, bmr, ilp, l3_cache_ratio
cholesky,potrf,16384,512,0.284934,0.003045,inf,2.600633,0.080285
cholesky,trsm,16384,512,0.336527,0.001300,inf,2.392904,1.253343
cholesky,syrk,16384,512,0.319728,0.005843,inf,2.615575,2.271726
cholesky,gemm,16384,512,0.228240,0.003386,inf,3.012083,23.112623
cholesky,potrf,16384,1024,0.294674,0.002325,inf,2.599251,0.163852
cholesky,trsm,16384,1024,0.313344,0.001364,inf,2.527555,1.711784
cholesky,syrk,16384,1024,0.254746,0.003702,inf,2.909703,2.542390
cholesky,gemm,16384,1024,0.196216,0.002745,inf,3.159996,16.397370
cholesky,potrf,16384,2048,0.306651,0.001912,inf,2.577194,0.388993
cholesky,trsm,16384,2048,0.280397,0.002115,inf,2.710672,3.710311
cholesky,syrk,16384,2048,0.221462,0.003152,inf,3.064367,3.849899
cholesky,gemm,16384,2048,0.180986,0.003217,inf,3.235132,15.142473
