algorithm,task,matrix_size,tile_size,frequency,papi_l3_tcm,papi_tot_ins,papi_res_stl,papi_tot_cyc,papi_br_msp,weight,l3_cache_size
cholesky,gemm,16384,2048,2801000,355714554,108211681526,6208164411,33599453898,1133532,56,23068672
cholesky,potrf,16384,2048,1200000,9545781,4401532695,448305484,1821702351,732291,8,23068672
cholesky,trsm,16384,2048,1200000,86775453,38506885397,3520667132,15105079288,4812999,28,23068672
cholesky,syrk,16384,2048,1200000,96381240,27988715654,1444786972,8538455417,780508,28,23068672
cholesky,gemm,16384,2048,1200000,364558254,108211686170,4844745771,32176905029,1117690,56,23068672
cholesky,potrf,20480,512,2801000,2294475,673109920,76316063,319235917,221826,40,23068672
cholesky,trsm,20480,512,2801000,47115058,31344281377,4472880602,15599054719,7329875,780,23068672
cholesky,syrk,20480,512,2801000,87011711,13790834177,1764331419,5344246666,1152038,780,23068672
cholesky,gemm,20480,512,2801000,1094471582,309428127916,24137516830,103251429295,6264665,9880,23068672
cholesky,potrf,20480,512,1200000,2345131,673109036,52978266,295225641,224260,40,23068672
cholesky,trsm,20480,512,1200000,47266358,31344288402,4016380156,15159339905,7272776,780,23068672
cholesky,syrk,20480,512,1200000,88340828,13790832839,1121813804,4698217558,1141021,780,23068672
cholesky,gemm,20480,512,1200000,1105377656,309428167024,18281181638,97369444165,6197453,9880,23068672
cholesky,potrf,20480,1024,2801000,4825411,1850287110,212793312,835504892,419827,20,23068672
cholesky,trsm,20480,1024,2801000,63670395,42412973967,5252126339,19132987684,7261957,190,23068672
cholesky,syrk,20480,1024,2801000,93854337,24773212913,2222277784,8559935692,2180120,190,23068672
cholesky,gemm,20480,1024,2801000,779266578,278595500109,17686307185,88466501933,16021814,1140,23068672
cholesky,potrf,20480,1024,1200000,5152262,1850287435,171243185,793521192,418973,20,23068672
cholesky,trsm,20480,1024,1200000,65477476,42412975886,4747077212,18648047360,7241208,190,23068672
cholesky,syrk,20480,1024,1200000,98217042,24773211223,1500500454,7833860182,2129255,190,23068672
cholesky,gemm,20480,1024,1200000,805222230,278595511800,13789799917,84563017692,16129675,1140,23068672
cholesky,potrf,20480,2048,2801000,12099753,5501911382,663659539,2378619918,852276,10,23068672
cholesky,trsm,20480,2048,2801000,136797385,61886062717,6303212915,24961816638,6931843,45,23068672
cholesky,syrk,20480,2048,2801000,150104813,44981861223,3307806176,14731153699,1243676,45,23068672
cholesky,gemm,20480,2048,2801000,762677297,231882174687,13158276177,71846336175,2366905,120,23068672
cholesky,potrf,20480,2048,1200000,12277360,5501911406,560851508,2275551472,849402,10,23068672
cholesky,trsm,20480,2048,1200000,140189612,61886066039,5671244615,24259417088,6930966,45,23068672
cholesky,syrk,20480,2048,1200000,153734647,44981863594,2313319756,13715739881,1273684,45,23068672
cholesky,gemm,20480,2048,1200000,771506091,231882183607,10348843268,68901984219,2404117,120,23068672
cholesky,potrf,24576,512,2801000,2796771,807729791,90930328,382386594,266734,48,23068672
cholesky,trsm,24576,512,2801000,66278383,45328658789,6441262181,22538336858,10521288,1128,23068672
cholesky,syrk,24576,512,2801000,125345627,19943676750,2549401288,7727819234,1632030,1128,23068672
cholesky,gemm,24576,512,2801000,1927281571,541687186744,42347409378,180858943875,10897882,17296,23068672
cholesky,potrf,24576,512,1200000,2858816,807728564,63680761,354268904,270367,48,23068672
cholesky,trsm,24576,512,1200000,68221519,45328662947,5805057273,21918898714,10522365,1128,23068672
cholesky,syrk,24576,512,1200000,130900991,19943647160,1615103096,6788738145,1637913,1128,23068672
cholesky,gemm,24576,512,1200000,1940062729,541687202130,32085247228,170403772262,10913124,17296,23068672
cholesky,potrf,24576,1024,2801000,6043323,2220341663,257376299,1004554521,503529,24,23068672
cholesky,trsm,24576,1024,2801000,89115107,61610424730,7582882077,27757302709,10527601,276,23068672
cholesky,syrk,24576,1024,2801000,140130216,35986355115,3234216974,12438496426,3141574,276,23068672
cholesky,gemm,24576,1024,2801000,1362473228,494629194044,31292897637,156980049701,28402953,2024,23068672
cholesky,potrf,24576,1024,1200000,6129082,2220341529,205366361,952130637,508413,24,23068672
cholesky,trsm,24576,1024,1200000,93868455,61610428237,6880263662,27086671724,10643814,276,23068672
cholesky,syrk,24576,1024,1200000,143319804,35986350486,2172035160,11371237603,3098782,276,23068672
cholesky,gemm,24576,1024,1200000,1415069209,494629208860,24495841970,150130877041,28609058,2024,23068672
