,algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time,l3_cache_size,number_of_tasks,frequency,PAPI_VEC_DP,PAPI_L2_TCR,PAPI_L3_TCR,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCW,PAPI_L3_TCW,PAPI_TOT_INS,PAPI_L3_TCM,ilp,cpi,cmr,vr,scr,edp,energy,normalized_energy,normalized_time,matrix_size_normalized,tile_size_normalized,number_of_tasks_normalized,case_normalized,frequency_normalized
0,qr,8192,256,1,158988830.0,170603913.0,8453275.333333334,16354480.666666666,1.0387666666666666,37486592.0,11440,4000000.0,0.9863301438462427,0.015949861318317677,0.015040853897609665,38720237185.97949,0.13048236093047266,0.00026955706480404095,3.2759163677397864e-05,100992436249.26385,0.0021443742690732564,2.54220100657955,0.39928454728589496,0.14214051593064173,0.9863301438462427,0.32298112606106844,1.0,354.400499,1.0,1.0,0.3333333333333333,0.125,0.03819240425190962,0.0625,0.9999999999999999
1,qr,8192,256,2,162082226.66666666,170548981.33333334,9006151.0,16677704.0,1.0972333333333333,37486592.0,11440,3991608.3916083914,0.9863301247441065,0.01594962577271815,0.015040384274510023,38720228475.326805,0.13046683179144802,0.00026955718055858227,3.2759162317485905e-05,100992436273.41771,0.0021444016607981777,2.542241171520503,0.3992690225472833,0.14231995893139082,0.9863301247441065,0.32296619967263596,1.067951988426767,358.315063,1.0110455939284668,1.0562846965953214,0.3333333333333333,0.125,0.03819240425190962,0.125,0.9979020979020977
2,qr,8192,256,3,160537797.33333334,170218395.33333334,8989551.0,16249563.666666666,1.0658333333333332,37486592.0,11440,3869930.06993007,0.9863301054679691,0.015935619000948323,0.015038823090308958,38715728087.13613,0.12915822787988374,0.00026953172799263405,3.27566505886073e-05,100992436406.01257,0.0021438215432536853,2.5476697190681663,0.3980352463783656,0.14212211084694698,0.9863301054679691,0.3213065356979559,1.0306738134730697,355.99530733333336,1.004500017177835,1.026056541411289,0.3333333333333333,0.125,0.03819240425190962,0.1875,0.9674825174825175
3,qr,8192,256,4,156889999.33333334,163200103.0,8859969.666666666,15671779.666666666,1.0055666666666665,37486592.0,11440,3861538.4615384615,0.9863300863658327,0.015935383455348794,0.015038353467209315,38715719376.48345,0.12914269874085912,0.0002695318437471754,3.2756649228695336e-05,100992436430.16643,0.0021438489349786065,2.547709884009119,0.398019721639754,0.14230155384769608,0.9863300863658327,0.3212916093095234,0.9413288094052144,344.62185166666677,0.9724079188349753,0.9680390206334434,0.3333333333333333,0.125,0.03819240425190962,0.25,0.9653846153846153
4,qr,8192,256,5,129240819.33333333,139422392.66666666,10277249.666666666,19705640.0,1.2976666666666665,37486592.0,11440,1268531.4685314684,0.9863299295163485,0.016202397394913557,0.015181326413089167,36179841135.47459,0.10734783594305962,0.0002808775958178871,3.1800870823181564e-05,100992459592.39392,0.002139541868172589,2.7113000112954,0.37624281106673657,0.14048646508694357,0.9863299295163485,0.27837893239923833,1.0527073845757007,298.6461016666667,0.8426796872728632,1.2492378782530564,0.3333333333333333,0.125,0.03819240425190962,0.3125,0.3171328671328671
5,qr,8192,256,6,124321052.0,133189030.66666667,10482234.0,18750905.0,1.2252666666666665,37486592.0,11440,1260139.86013986,0.9863299104142123,0.01620216184931403,0.015180856789989525,36179832424.8219,0.107332306804035,0.00028087771157242844,3.1800869463269604e-05,100992459616.54778,0.00213956925989751,2.711340176236353,0.3762272863281249,0.14066590808769266,0.9863299104142123,0.2783640060108058,0.954358288004761,286.74322166666667,0.8090937300476732,1.1795398389115297,0.3333333333333333,0.125,0.03819240425190962,0.375,0.315034965034965
6,qr,8192,256,7,132330105.66666667,141133794.33333334,10963057.333333334,20289207.666666668,1.3862333333333332,37486592.0,11440,1138461.5384615385,0.9863298911380748,0.016188155077544203,0.01517929560578846,36175332036.631226,0.1060237028924707,0.0002808522590064802,3.1798357734391e-05,100992459749.14264,0.002138989142353018,2.7167687237840163,0.37499351015920723,0.14046806000324882,0.9863298911380748,0.2767043420361258,1.1474123020527092,304.716165,0.8598073813660176,1.334499245900587,0.3333333333333333,0.125,0.03819240425190962,0.4375,0.2846153846153846
7,qr,8192,256,8,124000923.66666667,131916491.66666667,10635958.333333334,18865512.333333332,1.2347666666666666,37486592.0,11440,1130069.9300699302,0.9863298720359385,0.016187919531944674,0.015178825982688817,36175323325.978546,0.10600817375344608,0.0002808523747610216,3.1798356374479036e-05,100992459773.2965,0.002139016534077939,2.716808888724969,0.3749779854205956,0.14064750300399792,0.9863298720359385,0.2766894156476933,0.957315904046896,285.418886,0.8053568965206225,1.1886852998748516,0.3333333333333333,0.125,0.03819240425190962,0.5,0.2825174825174825
8,qr,8192,256,9,176344458.0,185360914.66666666,10728360.0,18564081.0,1.315,37486592.0,11440,3869930.06993007,0.986330100119585,0.015978938315393154,0.01503981107880243,38711531568.56224,0.1295596009736883,0.0002695602986627092,3.275894015544647e-05,100992437035.2909,0.002145043505172704,2.5442163929445405,0.3984472429168553,0.14222375486176267,0.986330100119585,0.3220557359319107,1.396650535204094,390.9978136666666,1.1032654151727552,1.2659243333440298,0.3333333333333333,0.125,0.03819240425190962,0.5625,0.9674825174825175
9,qr,8192,256,10,192068274.33333334,199834795.66666666,11219520.666666666,20355773.0,1.4827666666666666,37486592.0,11440,3861538.4615384615,0.9863300810174488,0.015978702769793622,0.015039341455702787,38711522857.90956,0.12954407183466365,0.0002695604144172506,3.27589387955345e-05,100992437059.44475,0.0021450708968976254,2.544256557885493,0.39843171817824363,0.14240319786251177,0.9863300810174488,0.32204080954347825,1.7056570392598334,423.47836366666667,1.19491469357854,1.427429965022623,0.3333333333333333,0.125,0.03819240425190962,0.625,0.9653846153846153
10,qr,8192,256,11,197134728.66666666,206358928.33333334,12467210.333333334,20287234.0,1.5383000000000002,37486592.0,11440,3739860.1398601397,0.9863300617413113,0.015964695998023797,0.015037780271501723,38707022469.71888,0.12823546792309937,0.00026953496185130237,3.27564270666559e-05,100992437192.03961,0.002144490779353133,2.5496851054331566,0.397197942009326,0.14220534977806792,0.9863300617413113,0.3203811455687982,1.8228975455714624,436.2481013333333,1.2309466340038457,1.4808907999871646,0.3333333333333333,0.125,0.03819240425190962,0.6875,0.9349650349650348
11,qr,8192,256,12,229540265.33333334,233821585.66666666,14500595.333333334,23260733.0,1.8757333333333335,37486592.0,11440,3731468.5314685316,0.986330042639175,0.01596446045242427,0.01503731064840208,38707013759.0662,0.12821993878407476,0.00026953507760584374,3.2756425706743934e-05,100992437216.19347,0.002144518171078054,2.5497252703741093,0.39718241727071435,0.142384792778817,0.986330042639175,0.3203662191803657,2.5533083058214396,501.1231793333333,1.4140024654235412,1.8057311555370152,0.3333333333333333,0.125,0.03819240425190962,0.75,0.9328671328671327
