,algorithm,matrix_size,tile_size,case,PKG1,PKG2,DRAM1,DRAM2,time,l3_cache_size,number_of_tasks,frequency,PAPI_VEC_DP,PAPI_L2_TCR,PAPI_L3_TCR,PAPI_TOT_CYC,PAPI_RES_STL,PAPI_L2_TCW,PAPI_L3_TCW,PAPI_TOT_INS,PAPI_L3_TCM,ilp,cpi,cmr,vr,scr,edp,energy,normalized_energy,normalized_time,matrix_size_normalized,tile_size_normalized,number_of_tasks_normalized,case_normalized,frequency_normalized
0,sylsvd,8192,256,1,26554111.333333332,33232479.666666668,1918487.3333333333,2326706.6666666665,0.26803333333333335,37486592.0,128,4000000.0,0.5660726766685876,0.06131157891043391,0.004575695418155671,1990367121.6666667,0.18749703958906533,0.00019677268156855965,6.11556571019508e-07,3789000463.6666665,0.0001758965415536694,2.0116441231738618,0.513067380147485,0.041510668754562774,0.5660726766685876,0.3490499202371821,1.0,64.031785,1.0,1.0,0.3333333333333333,0.125,0.3333333333333333,0.0625,1.0
1,sylsvd,8192,256,2,25938247.333333332,22994814.333333332,1625762.6666666667,1841987.0,0.21630000000000002,37486592.0,128,3250000.0,0.5660726665183774,0.06132022045871999,0.004550823859241664,1985984468.5833333,0.18635905686342902,0.0001968297554748086,6.165463507006159e-07,3789000592.8333335,0.00017741848080646635,2.015646952152075,0.5119083211372069,0.04344679009176877,0.5660726665183774,0.34761161514588834,0.6604046379905204,52.40081133333333,0.8183562481247919,0.8069891804501927,0.3333333333333333,0.125,0.3333333333333333,0.125,0.8125
2,sylsvd,8192,256,3,34051426.666666664,34177464.0,2536801.3333333335,3039136.0,0.3546666666666667,37486592.0,128,3250000.0,0.5660727567485332,0.061316295345308545,0.004586602391231536,1988170789.0833335,0.18676709497254929,0.00019681603144464972,5.927493581585703e-07,3788999798.6666665,0.00017686295277350093,2.012996070208911,0.512496874323822,0.04190241200551267,0.5660727567485332,0.3483730816073333,1.525178693360311,73.80482799999999,1.1526279956118666,1.3232185051610497,0.3333333333333333,0.125,0.3333333333333333,0.1875,0.8125
3,sylsvd,8192,256,4,37798019.333333336,32104999.666666668,2738592.6666666665,3284879.3333333335,0.38366666666666666,37486592.0,128,2500000.0,0.566072746598323,0.061324936893594625,0.004561730832317529,1983788136.0,0.18562911224691303,0.00019687310535089866,5.977391378396782e-07,3788999927.8333335,0.00017838489202629784,2.016998899187124,0.5113378153135439,0.043838533342718665,0.566072746598323,0.34693477651603954,1.6973170814116285,75.926491,1.1857625240339622,1.4314140032334286,0.3333333333333333,0.125,0.3333333333333333,0.25,0.625
4,sylsvd,8192,256,5,32908363.0,28522164.333333332,2244591.3333333335,2680172.3333333335,0.31256666666666666,37486592.0,128,3250000.0,0.5660727040868603,0.06128338736698219,0.004580423743619535,1994030648.1666667,0.1879886009559466,0.00019679087671006492,6.022986033951114e-07,3789000006.0,0.00017642381392289814,2.0092556682441596,0.513562572150084,0.04210023104303579,0.5660727040868603,0.3497795768598317,1.2084642390712823,66.355291,1.036286759770948,1.1661484889939062,0.3333333333333333,0.125,0.3333333333333333,0.3125,0.8125
5,sylsvd,8192,256,6,29059699.333333332,26890637.333333332,2307143.6666666665,2643427.0,0.315,37486592.0,128,2500000.0,0.56607269393665,0.06129202891526827,0.004555552184705528,1989647995.0833333,0.18685061823031035,0.00019684795061631388,6.072883830762193e-07,3789000135.166667,0.0001779457531756951,2.0132584972223726,0.5124035131398059,0.04403635238024179,0.56607269393665,0.34834127176853785,1.1177634404144041,60.90090733333333,0.9511043200393887,1.175226961820669,0.3333333333333333,0.125,0.3333333333333333,0.375,0.625
6,sylsvd,8192,256,7,28215748.0,28810045.666666668,2799798.6666666665,3210383.6666666665,0.38376666666666664,37486592.0,128,2500000.0,0.566072784166806,0.06128810380185683,0.0045913307166954,1991834315.5833335,0.18725865633943062,0.00019683422658615498,5.834913905341737e-07,3788999341.0,0.0001773902251427297,2.0106076152792083,0.5129920663264211,0.042491974293985685,0.566072784166806,0.3491027382299829,1.4095202361660526,63.035976,0.9844482080266854,1.431787091157816,0.3333333333333333,0.125,0.3333333333333333,0.4375,0.625
7,sylsvd,8192,256,8,29715174.666666668,26070917.0,2978089.0,3271007.0,0.4045,37486592.0,128,1750000.0,0.5660727740165956,0.06129674535014291,0.004566459157781394,1987451662.5,0.1861206736137943,0.00019689130049240395,5.884811702152815e-07,3788999470.166667,0.0001789121643955266,2.0146104442574213,0.511833007316143,0.04442809563119168,0.5660727740165956,0.3476644331386891,1.4620836151207703,62.03518766666667,0.9688186525905326,1.509140654147494,0.3333333333333333,0.125,0.3333333333333333,0.5,0.4375
8,sylsvd,8192,256,9,25233516.666666668,28174387.333333332,1798877.0,2109120.3333333335,0.24473333333333333,37486592.0,128,3250000.0,0.5660738672581012,0.06130666684124112,0.004602370775229384,1990095414.5,0.18529988207836637,0.00019679265874649604,6.042623970561887e-07,3789000321.0,0.0001818249431246464,2.0248435576032953,0.5109295295669297,0.04191832857910452,0.5660738672581012,0.3448681324800238,0.8173043976345281,57.315901333333336,0.8951164071614329,0.9130705136177092,0.3333333333333333,0.125,0.3333333333333333,0.5625,0.8125
9,sylsvd,8192,256,10,28274606.333333332,26181065.0,1982104.6666666667,2288554.0,0.26816666666666666,37486592.0,128,2500000.0,0.5660738571078908,0.0613153083895272,0.004577499216315378,1985712761.4166665,0.18416189935273009,0.00019684973265274498,6.092521767372965e-07,3789000450.166667,0.00018334688237744333,2.0288463865815083,0.5097704705566517,0.04385444991631052,0.5660738571078908,0.34342982738873,0.9175996490819175,58.72632999999999,0.9171434155708761,1.00049745056585,0.3333333333333333,0.125,0.3333333333333333,0.625,0.625
10,sylsvd,8192,256,11,28339914.0,33718847.0,2571889.0,3045465.0,0.3590333333333333,37486592.0,128,2500000.0,0.5660739473380467,0.06131138327611576,0.00461327774830525,1987899081.9166667,0.18456993746185035,0.0001968360086225861,5.854551841952509e-07,3788999656.0,0.00018279135434447793,2.026195504638344,0.5103590237432667,0.04231007183005441,0.5660739473380467,0.344191293850175,1.4157474067156526,67.676115,1.0569143902516538,1.3395100111926377,0.3333333333333333,0.125,0.3333333333333333,0.6875,0.625
11,sylsvd,8192,256,12,29597926.333333332,31641968.0,2842219.6666666665,3326806.3333333335,0.39873333333333333,37486592.0,128,1750000.0,0.5660739371878365,0.06132002482440184,0.004588406189391243,1983516428.8333333,0.18343195473621407,0.00019689308252883504,5.904449638763589e-07,3788999785.166667,0.00018431329359727488,2.030198333616557,0.5091999647329887,0.04424619316726041,0.5660739371878365,0.34275298875888127,1.5660856078995222,67.40892033333333,1.0527415459889697,1.4876259171744808,0.3333333333333333,0.125,0.3333333333333333,0.75,0.4375
12,sylsvd,8192,256,13,25435014.0,23372316.0,2083941.3333333333,2417573.3333333335,0.2873666666666667,37486592.0,128,2500000.0,0.5660738946763738,0.0612784752977894,0.004607099100693249,1993758941.0,0.18579144344524767,0.0001968108538880013,5.950044294317921e-07,3788999863.333333,0.00018235221549387518,2.0224551026735926,0.5114247215695288,0.04250789086757753,0.5660738946763738,0.34559778910267336,0.8925884126700836,53.30884466666667,0.8325372261083566,1.072130332048253,0.3333333333333333,0.125,0.3333333333333333,0.8125,0.625
13,sylsvd,8192,256,14,28185454.333333332,25845128.333333332,2458450.0,2850726.3333333335,0.3406666666666667,37486592.0,128,1750000.0,0.5660738845261636,0.06128711684607548,0.004582227541779242,1989376287.9166665,0.1846534607196114,0.00019686792779425027,5.999942091128999e-07,3788999992.5,0.0001838741547466721,2.0264579316518057,0.5102656625592508,0.04444401220478353,0.5660738845261636,0.3441594840113795,1.1778527577818079,59.339759,0.9267234858437884,1.2709861957467976,0.3333333333333333,0.125,0.3333333333333333,0.875,0.4375
